GeneID1	GeneID2	PCC_healthy	feature_type	PCC_healthy_abs
IL1B	MEFV	0.763784644698522	transcript-transcript	0.763784644698522
IL1B	CXCL8	0.195674261915606	transcript-transcript	0.195674261915606
TNF	CXCL8	0.286655005469671	transcript-transcript	0.286655005469671
TNF	IL1B	0.213473374109535	transcript-transcript	0.213473374109535
IL10RA	GZMB	0.371867608208043	transcript-transcript	0.371867608208043
MAP2K1	CXCL2	0.150832064608782	transcript-transcript	0.150832064608782
ENPEP	DPP4	-0.294686908895793	transcript-transcript	0.294686908895793
CCL4	MEFV	-0.315990103173668	transcript-transcript	0.315990103173668
CCL4	CXCL8	0.383546280861956	transcript-transcript	0.383546280861956
CCL4	IL1B	-0.272146774808009	transcript-transcript	0.272146774808009
CCL4	TNF	0.169497550238079	transcript-transcript	0.169497550238079
ICAM1	MEFV	0.319080799692504	transcript-transcript	0.319080799692504
ICAM1	IL1B	0.408595630877436	transcript-transcript	0.408595630877436
ICAM1	CCL4	-0.218138705127663	transcript-transcript	0.218138705127663
DPP4	CXCL8	0.377568213863112	transcript-transcript	0.377568213863112
TNF	IL1B	0.213473374109535	transcript-transcript	0.213473374109535
MEN1	FASTK	0.813564720049385	transcript-transcript	0.813564720049385
MAP2K1	CD8A	-0.63875281370407	transcript-transcript	0.63875281370407
LCK	CD4	0.796177364169285	transcript-transcript	0.796177364169285
CCL4	CD8A	0.564546366004304	transcript-transcript	0.564546366004304
CCL4	CXCL8	0.383546280861956	transcript-transcript	0.383546280861956
ICAM1	DPP4	-0.187367477366403	transcript-transcript	0.187367477366403
ICAM1	CCL4	-0.218138705127663	transcript-transcript	0.218138705127663
RNMT	SCAI	0.183873408655082	transcript-transcript	0.183873408655082
CXCL8	ITGAM	-0.21593908811653	transcript-transcript	0.21593908811653
CXCL8	ANPEP	0.14101521689635	transcript-transcript	0.14101521689635
IL1B	ITGAM	0.547306413392756	transcript-transcript	0.547306413392756
IL1B	ANPEP	0.397496630088127	transcript-transcript	0.397496630088127
IL1B	CXCL8	0.195674261915606	transcript-transcript	0.195674261915606
DPP4	ITGAM	-0.704551656888764	transcript-transcript	0.704551656888764
CXCL2	ITGAM	0.117623789179568	transcript-transcript	0.117623789179568
CXCL2	ANPEP	0.209777304015316	transcript-transcript	0.209777304015316
LCK	CD8A	0.84999310760978	transcript-transcript	0.84999310760978
ICAM1	ITGAM	0.40885866546472	transcript-transcript	0.40885866546472
ICAM1	DPP4	-0.187367477366403	transcript-transcript	0.187367477366403
ICAM1	CXCL2	-0.391678787036945	transcript-transcript	0.391678787036945
GZMB	PYCARD	-0.125195893437954	transcript-transcript	0.125195893437954
CALR	PYCARD	0.341630116383464	transcript-transcript	0.341630116383464
IFNG	GZMB	0.759635347696187	transcript-transcript	0.759635347696187
SELP	ITGAM	-0.115780307465638	transcript-transcript	0.115780307465638
CD4	IFNG	0.332443512800507	transcript-transcript	0.332443512800507
CD4	CD8A	0.621731585687356	transcript-transcript	0.621731585687356
IL1B	CXCL8	0.195674261915606	transcript-transcript	0.195674261915606
DPP4	ANPEP	-0.414735959399699	transcript-transcript	0.414735959399699
IL10RA	CD4	0.537060991353281	transcript-transcript	0.537060991353281
CXCL2	ANPEP	0.209777304015316	transcript-transcript	0.209777304015316
MAP2K1	CXCL2	0.150832064608782	transcript-transcript	0.150832064608782
LCK	IL10RA	0.46851079470215	transcript-transcript	0.46851079470215
GZMB	PYCARD	-0.125195893437954	transcript-transcript	0.125195893437954
IL1B	IL10	0.427446874850834	transcript-transcript	0.427446874850834
IL1B	IFNG	-0.330826991338929	transcript-transcript	0.330826991338929
IL1B	CXCL8	0.195674261915606	transcript-transcript	0.195674261915606
TNF	IL1B	0.213473374109535	transcript-transcript	0.213473374109535
CD8B	CD8A	0.965534221669043	transcript-transcript	0.965534221669043
ASGR2	CXCL2	0.546563461748432	transcript-transcript	0.546563461748432
LCK	CD8A	0.84999310760978	transcript-transcript	0.84999310760978
LCK	CD8B	0.905936760862622	transcript-transcript	0.905936760862622
CCL4	IFNG	0.414021366497775	transcript-transcript	0.414021366497775
CCL4	IL1B	-0.272146774808009	transcript-transcript	0.272146774808009
CCL4	TNF	0.169497550238079	transcript-transcript	0.169497550238079
CCL4	LCK	0.526093864961892	transcript-transcript	0.526093864961892
CD4	CD8A	0.621731585687356	transcript-transcript	0.621731585687356
CXCL8	ITGAM	-0.21593908811653	transcript-transcript	0.21593908811653
IL10RA	ITGAM	-0.437384604557031	transcript-transcript	0.437384604557031
IL10RA	CD8A	0.486199266469758	transcript-transcript	0.486199266469758
IL10RA	CD4	0.537060991353281	transcript-transcript	0.537060991353281
CXCL2	IL10RA	0.278612451899417	transcript-transcript	0.278612451899417
ASGR2	FURIN	0.205747781850963	transcript-transcript	0.205747781850963
LCK	CD8A	0.84999310760978	transcript-transcript	0.84999310760978
CCL4	CD4	0.356202832104381	transcript-transcript	0.356202832104381
ICAM1	ITGAM	0.40885866546472	transcript-transcript	0.40885866546472
FASTK	BRAF	-0.867430318235028	transcript-transcript	0.867430318235028
CD4	ITGAM	-0.765915530134121	transcript-transcript	0.765915530134121
CXCL8	ITGAM	-0.21593908811653	transcript-transcript	0.21593908811653
CXCL8	CD4	0.195232351435976	transcript-transcript	0.195232351435976
CD8B	CD8A	0.965534221669043	transcript-transcript	0.965534221669043
IL10RA	ITGAM	-0.437384604557031	transcript-transcript	0.437384604557031
IL10RA	CD8A	0.486199266469758	transcript-transcript	0.486199266469758
IL10RA	CD8B	0.449694038743295	transcript-transcript	0.449694038743295
LCK	CD8A	0.84999310760978	transcript-transcript	0.84999310760978
LCK	IL10RA	0.46851079470215	transcript-transcript	0.46851079470215
CCL4	CD8A	0.564546366004304	transcript-transcript	0.564546366004304
CCL4	IL10RA	0.312180708753553	transcript-transcript	0.312180708753553
ICAM1	ITGAM	0.40885866546472	transcript-transcript	0.40885866546472
EPCAM	CALR	-0.560247970446165	transcript-transcript	0.560247970446165
CD8A	GZMB	0.722375615451979	transcript-transcript	0.722375615451979
DPP4	FURIN	-0.821535285853035	transcript-transcript	0.821535285853035
TNF	IL1B	0.213473374109535	transcript-transcript	0.213473374109535
CD8B	ANPEP	-0.381551039131551	transcript-transcript	0.381551039131551
IL10RA	GZMB	0.371867608208043	transcript-transcript	0.371867608208043
IL10RA	CD4	0.537060991353281	transcript-transcript	0.537060991353281
ELANE	CXCL8	-0.302966147735978	transcript-transcript	0.302966147735978
ELANE	EPOR	0.142841993485961	transcript-transcript	0.142841993485961
LCK	IL10RA	0.46851079470215	transcript-transcript	0.46851079470215
CCL4	GZMB	0.559041193172186	transcript-transcript	0.559041193172186
CCL4	CD8A	0.564546366004304	transcript-transcript	0.564546366004304
CCL4	IL1B	-0.272146774808009	transcript-transcript	0.272146774808009
CCL4	IL10RA	0.312180708753553	transcript-transcript	0.312180708753553
ICAM1	IL1B	0.408595630877436	transcript-transcript	0.408595630877436
ICAM1	CXCL2	-0.391678787036945	transcript-transcript	0.391678787036945
TNF	CXCL8	0.286655005469671	transcript-transcript	0.286655005469671
IL10RA	SELP	0.126484003144828	transcript-transcript	0.126484003144828
CXCL2	TNF	-0.118088677884948	transcript-transcript	0.118088677884948
ELANE	GZMB	-0.240998961088751	transcript-transcript	0.240998961088751
CCL4	ASGR2	-0.142062797410948	transcript-transcript	0.142062797410948
ICAM1	CXCL2	-0.391678787036945	transcript-transcript	0.391678787036945
CXCL2	TNF	-0.118088677884948	transcript-transcript	0.118088677884948
LCK	IL10	-0.771847330510135	transcript-transcript	0.771847330510135
CCL4	IL1B	-0.272146774808009	transcript-transcript	0.272146774808009
CCL4	TNF	0.169497550238079	transcript-transcript	0.169497550238079
ICAM1	TNF	0.409932653810285	transcript-transcript	0.409932653810285
ICAM1	CXCL2	-0.391678787036945	transcript-transcript	0.391678787036945
IFNG	GZMB	0.759635347696187	transcript-transcript	0.759635347696187
CD8A	GZMB	0.722375615451979	transcript-transcript	0.722375615451979
CD8A	IFNG	0.60139086856654	transcript-transcript	0.60139086856654
CD4	CD8A	0.621731585687356	transcript-transcript	0.621731585687356
IL1B	CXCL8	0.195674261915606	transcript-transcript	0.195674261915606
TNF	IL10	-0.165851957827066	transcript-transcript	0.165851957827066
KPNA2	EPCAM	0.664490288807638	transcript-transcript	0.664490288807638
IL10RA	GZMB	0.371867608208043	transcript-transcript	0.371867608208043
IL10RA	CD8A	0.486199266469758	transcript-transcript	0.486199266469758
LCK	IL10RA	0.46851079470215	transcript-transcript	0.46851079470215
CCL4	GZMB	0.559041193172186	transcript-transcript	0.559041193172186
CCL4	IFNG	0.414021366497775	transcript-transcript	0.414021366497775
CCL4	CD8A	0.564546366004304	transcript-transcript	0.564546366004304
PPIG	RNMT	0.399237135282195	transcript-transcript	0.399237135282195
IFNG	GZMB	0.759635347696187	transcript-transcript	0.759635347696187
CD8A	GZMB	0.722375615451979	transcript-transcript	0.722375615451979
CD8A	IFNG	0.60139086856654	transcript-transcript	0.60139086856654
ANPEP	ACE	-0.417499850097227	transcript-transcript	0.417499850097227
TNF	IL10	-0.165851957827066	transcript-transcript	0.165851957827066
KPNA2	PPIG	0.227222604564196	transcript-transcript	0.227222604564196
ELANE	SELP	0.165821498788105	transcript-transcript	0.165821498788105
ELANE	CXCL2	0.385758833821215	transcript-transcript	0.385758833821215
LCK	CD8A	0.84999310760978	transcript-transcript	0.84999310760978
CCL4	IL10RA	0.312180708753553	transcript-transcript	0.312180708753553
CD8A	SELP	0.205090616365701	transcript-transcript	0.205090616365701
TNF	IL1B	0.213473374109535	transcript-transcript	0.213473374109535
MEN1	FASTK	0.813564720049385	transcript-transcript	0.813564720049385
CXCL2	ITGAM	0.117623789179568	transcript-transcript	0.117623789179568
CXCL2	CD8A	-0.174834738253136	transcript-transcript	0.174834738253136
LCK	CD4	0.796177364169285	transcript-transcript	0.796177364169285
CCL4	CD8A	0.564546366004304	transcript-transcript	0.564546366004304
ICAM1	CD8A	-0.386508818204114	transcript-transcript	0.386508818204114
ICAM1	CXCL2	-0.391678787036945	transcript-transcript	0.391678787036945
ICAM1	CCL4	-0.218138705127663	transcript-transcript	0.218138705127663
ACE	CALR	0.396038339326978	transcript-transcript	0.396038339326978
IFNG	GZMB	0.759635347696187	transcript-transcript	0.759635347696187
ANPEP	ITGAM	0.56794269933097	transcript-transcript	0.56794269933097
MEN1	CALR	0.578712649991288	transcript-transcript	0.578712649991288
MEN1	ACE	0.80322259499616	transcript-transcript	0.80322259499616
MEN1	TNF	0.170692318238806	transcript-transcript	0.170692318238806
ELANE	CD4	-0.242771008228931	transcript-transcript	0.242771008228931
ICAM1	GZMB	-0.101505923892573	transcript-transcript	0.101505923892573
ICAM1	LCK	-0.318815821799639	transcript-transcript	0.318815821799639
ITGAM	GZMB	-0.376385423736116	transcript-transcript	0.376385423736116
IL1B	IL10	0.427446874850834	transcript-transcript	0.427446874850834
TNF	IL10	-0.165851957827066	transcript-transcript	0.165851957827066
IL10RA	ITGAM	-0.437384604557031	transcript-transcript	0.437384604557031
IL10RA	IVD	0.558671974661832	transcript-transcript	0.558671974661832
IFNG	IL10	-0.274833836736504	transcript-transcript	0.274833836736504
CD4	IFNG	0.332443512800507	transcript-transcript	0.332443512800507
CXCL8	IFNG	-0.173134013156575	transcript-transcript	0.173134013156575
CXCL8	CD4	0.195232351435976	transcript-transcript	0.195232351435976
IL1B	CD4	-0.514644767376448	transcript-transcript	0.514644767376448
IL1B	CXCL8	0.195674261915606	transcript-transcript	0.195674261915606
DPP4	ANPEP	-0.414735959399699	transcript-transcript	0.414735959399699
IL10RA	IL10	-0.200278491755128	transcript-transcript	0.200278491755128
IL10RA	IFNG	0.302111356046304	transcript-transcript	0.302111356046304
IL10RA	CD4	0.537060991353281	transcript-transcript	0.537060991353281
ASGR2	IL1B	-0.193375712717173	transcript-transcript	0.193375712717173
PPIG	RNMT	0.399237135282195	transcript-transcript	0.399237135282195
ITGAM	MEFV	0.803279669002975	transcript-transcript	0.803279669002975
IFNG	GZMB	0.759635347696187	transcript-transcript	0.759635347696187
CD4	CD8A	0.621731585687356	transcript-transcript	0.621731585687356
IL1B	CXCL8	0.195674261915606	transcript-transcript	0.195674261915606
DPP4	FURIN	-0.821535285853035	transcript-transcript	0.821535285853035
EPOR	ITGAM	0.465992241458158	transcript-transcript	0.465992241458158
IL10RA	GZMB	0.371867608208043	transcript-transcript	0.371867608208043
ELANE	ITGAM	0.116564467243853	transcript-transcript	0.116564467243853
ELANE	EPOR	0.142841993485961	transcript-transcript	0.142841993485961
ICAM1	ACE	-0.293955900038924	transcript-transcript	0.293955900038924
ICAM1	IL1B	0.408595630877436	transcript-transcript	0.408595630877436
EPCAM	IL10	0.434717998509636	transcript-transcript	0.434717998509636
GFAP	BRAF	-0.389728246758635	transcript-transcript	0.389728246758635
CPOX	ITGAM	-0.326761502553402	transcript-transcript	0.326761502553402
CPOX	ANPEP	-0.249984742838759	transcript-transcript	0.249984742838759
CD8A	IVD	0.846213614878895	transcript-transcript	0.846213614878895
CD8A	IFNG	0.60139086856654	transcript-transcript	0.60139086856654
DPP4	BRAF	-0.283689501312148	transcript-transcript	0.283689501312148
TNF	DPP4	0.332229634220249	transcript-transcript	0.332229634220249
IL10RA	BRAF	-0.390936632213009	transcript-transcript	0.390936632213009
CXCL2	PPARA	-0.184847219068589	transcript-transcript	0.184847219068589
ASGR2	IL10RA	0.169302030344484	transcript-transcript	0.169302030344484
ENPEP	IFNG	-0.526915436006781	transcript-transcript	0.526915436006781
ENPEP	CPOX	-0.280180270442718	transcript-transcript	0.280180270442718
LCK	ACE	0.832925354432438	transcript-transcript	0.832925354432438
CCL4	EPCAM	-0.464473152132473	transcript-transcript	0.464473152132473
CD8A	CALR	0.354053363921336	transcript-transcript	0.354053363921336
IL10RA	IL10	-0.200278491755128	transcript-transcript	0.200278491755128
CXCL2	DPP4	-0.310365343750231	transcript-transcript	0.310365343750231
ELANE	GZMB	-0.240998961088751	transcript-transcript	0.240998961088751
LCK	CD4	0.796177364169285	transcript-transcript	0.796177364169285
IL1B	PKM	-0.18478270851468	transcript-transcript	0.18478270851468
MAP2K1	PKM	-0.155952889456179	transcript-transcript	0.155952889456179
CD8B	CD8A	0.965534221669043	transcript-transcript	0.965534221669043
CD8B	CD4	0.684819547854466	transcript-transcript	0.684819547854466
ENPEP	ANPEP	0.403892821055577	transcript-transcript	0.403892821055577
LCK	CD4	0.796177364169285	transcript-transcript	0.796177364169285
CD8B	CD8A	0.965534221669043	transcript-transcript	0.965534221669043
CD8B	CD4	0.684819547854466	transcript-transcript	0.684819547854466
ENPEP	ANPEP	0.403892821055577	transcript-transcript	0.403892821055577
LCK	CD4	0.796177364169285	transcript-transcript	0.796177364169285
IL10RA	IL10	-0.200278491755128	transcript-transcript	0.200278491755128
MAP2K1	BRAF	0.702010910196709	transcript-transcript	0.702010910196709
MEN1	GFAP	0.311601666445899	transcript-transcript	0.311601666445899
CXCL2	DPP4	-0.310365343750231	transcript-transcript	0.310365343750231
ELANE	GZMB	-0.240998961088751	transcript-transcript	0.240998961088751
LCK	CD8A	0.84999310760978	transcript-transcript	0.84999310760978
CD8A	CALR	0.354053363921336	transcript-transcript	0.354053363921336
KPNA2	RNMT	-0.309590155169601	transcript-transcript	0.309590155169601
IL10RA	IL10	-0.200278491755128	transcript-transcript	0.200278491755128
CXCL2	DPP4	-0.310365343750231	transcript-transcript	0.310365343750231
ELANE	GZMB	-0.240998961088751	transcript-transcript	0.240998961088751
MAP2K1	BRAF	0.702010910196709	transcript-transcript	0.702010910196709
MAP2K1	CALR	-0.470594249575537	transcript-transcript	0.470594249575537
LCK	CD4	0.796177364169285	transcript-transcript	0.796177364169285
MEN1	GFAP	0.311601666445899	transcript-transcript	0.311601666445899
CD8B	CD8A	0.965534221669043	transcript-transcript	0.965534221669043
IL10RA	IL10	-0.200278491755128	transcript-transcript	0.200278491755128
MAP2K1	BRAF	0.702010910196709	transcript-transcript	0.702010910196709
LCK	CD4	0.796177364169285	transcript-transcript	0.796177364169285
ICAM1	ITGAM	0.40885866546472	transcript-transcript	0.40885866546472
CD4	CD8A	0.621731585687356	transcript-transcript	0.621731585687356
MEN1	PPARA	0.119663121572187	transcript-transcript	0.119663121572187
KPNA2	IFNG	-0.281438937460004	transcript-transcript	0.281438937460004
CD8B	CD8A	0.965534221669043	transcript-transcript	0.965534221669043
MAP2K1	BRAF	0.702010910196709	transcript-transcript	0.702010910196709
LCK	CALR	0.480574556249484	transcript-transcript	0.480574556249484
CD4	CD8A	0.621731585687356	transcript-transcript	0.621731585687356
CD8B	CD4	0.684819547854466	transcript-transcript	0.684819547854466
IFNG	IL10	-0.274833836736504	transcript-transcript	0.274833836736504
CD8B	CD8A	0.965534221669043	transcript-transcript	0.965534221669043
IL10RA	EPOR	-0.404610558186795	transcript-transcript	0.404610558186795
ELANE	GZMB	-0.240998961088751	transcript-transcript	0.240998961088751
ASGR2	SELP	0.145161167944041	transcript-transcript	0.145161167944041
ENPEP	ANPEP	0.403892821055577	transcript-transcript	0.403892821055577
CCL4	CXCL8	0.383546280861956	transcript-transcript	0.383546280861956
F8	CCL3	-0.474530177655569	transcript-transcript	0.474530177655569
FCGR3A	CXCL10	0.230363234975739	transcript-transcript	0.230363234975739
GOT1	PLG	-0.215909727015689	transcript-transcript	0.215909727015689
MS4A1	CCL3	0.144354204722899	transcript-transcript	0.144354204722899
CCL2	CCL3	0.483535528136382	transcript-transcript	0.483535528136382
CTSB	FCGR3A	0.450855023649897	transcript-transcript	0.450855023649897
SERPINF2	PLG	-0.184811436485545	transcript-transcript	0.184811436485545
CCL5	CCL3	0.409857094579171	transcript-transcript	0.409857094579171
CCL5	MS4A1	-0.293861084483541	transcript-transcript	0.293861084483541
JAK1	CCL2	-0.320525463048234	transcript-transcript	0.320525463048234
ESR1	CCL3	-0.144550595175738	transcript-transcript	0.144550595175738
ESR1	F8	0.354944193133156	transcript-transcript	0.354944193133156
C5	GOT1	-0.150340102969287	transcript-transcript	0.150340102969287
C5	ABCB1	0.217214749792038	transcript-transcript	0.217214749792038
CD14	ESR1	-0.551428349393268	transcript-transcript	0.551428349393268
NFKB1	CCL2	-0.480257505579576	transcript-transcript	0.480257505579576
NFKB1	JAK1	0.702146383574214	transcript-transcript	0.702146383574214
CASP1	LTF	0.451133280711228	transcript-transcript	0.451133280711228
CASP1	FCGR3A	0.704861105199257	transcript-transcript	0.704861105199257
MAPK1	SERPINF2	-0.758442493895492	transcript-transcript	0.758442493895492
ERBB2	CD14	-0.11330376971301	transcript-transcript	0.11330376971301
CCL4	CCL3	0.646475591683217	transcript-transcript	0.646475591683217
CCL4	FCGR3A	-0.269344534796065	transcript-transcript	0.269344534796065
CCL4	CCL2	0.258608413171282	transcript-transcript	0.258608413171282
RTN2	BSG	0.545212063942502	transcript-transcript	0.545212063942502
B2M	LTF	0.470233289490787	transcript-transcript	0.470233289490787
B2M	FCGR3A	0.534805911937232	transcript-transcript	0.534805911937232
B2M	CASP1	0.864260958658538	transcript-transcript	0.864260958658538
STAT1	CXCL10	0.523963838698315	transcript-transcript	0.523963838698315
STAT1	CASP1	0.362587761693496	transcript-transcript	0.362587761693496
STAT1	B2M	0.428361585769065	transcript-transcript	0.428361585769065
IL6ST	SERPINF2	-0.69687672884631	transcript-transcript	0.69687672884631
IL6ST	STAT3	0.815313096611243	transcript-transcript	0.815313096611243
IL1R2	MUC1	-0.253088190488547	transcript-transcript	0.253088190488547
IRF1	LTF	0.418113664535115	transcript-transcript	0.418113664535115
IRF1	FCGR3A	0.535073698191957	transcript-transcript	0.535073698191957
IRF1	CASP1	0.678887919104611	transcript-transcript	0.678887919104611
IRF1	B2M	0.706191674431535	transcript-transcript	0.706191674431535
IRF1	STAT1	0.59757701777232	transcript-transcript	0.59757701777232
PTPN6	MUC1	0.179798060666246	transcript-transcript	0.179798060666246
FCER1G	CCL3	-0.283810477252106	transcript-transcript	0.283810477252106
FCER1G	F8	0.643086557330883	transcript-transcript	0.643086557330883
FCER1G	MS4A1	-0.253141292198468	transcript-transcript	0.253141292198468
FCER1G	CCL5	-0.56540407681577	transcript-transcript	0.56540407681577
FCER1G	ESR1	-0.227545902133187	transcript-transcript	0.227545902133187
IL7R	CCL2	0.548562481241035	transcript-transcript	0.548562481241035
FCGR3A	IL6R	0.543428519605893	transcript-transcript	0.543428519605893
IL1RN	FCGR3A	0.43732706102546	transcript-transcript	0.43732706102546
ABCB1	TLR7	0.189708181591688	transcript-transcript	0.189708181591688
MS4A1	IL7	0.176169466180727	transcript-transcript	0.176169466180727
CD19	MS4A1	0.734838020728005	transcript-transcript	0.734838020728005
MME	ADAM17	0.460161647636703	transcript-transcript	0.460161647636703
CCL2	IL1RN	-0.155892348335681	transcript-transcript	0.155892348335681
CTSB	JAK2	0.228930129856522	transcript-transcript	0.228930129856522
CTSB	CCL2	-0.370063014539956	transcript-transcript	0.370063014539956
CCL5	CCL2	0.206947780017167	transcript-transcript	0.206947780017167
VWF	CCL5	0.545013205594309	transcript-transcript	0.545013205594309
JAK1	IL7	-0.296561000451625	transcript-transcript	0.296561000451625
ESR1	CCL5	-0.34497344013681	transcript-transcript	0.34497344013681
STAT3	IL1RN	0.580588228006035	transcript-transcript	0.580588228006035
STAT3	JAK1	0.844225453940152	transcript-transcript	0.844225453940152
CTSL	CTSB	0.53700586914848	transcript-transcript	0.53700586914848
CD14	CTSB	0.545956944714357	transcript-transcript	0.545956944714357
CD14	CCL5	0.211137681069661	transcript-transcript	0.211137681069661
CD14	VWF	0.232199472451328	transcript-transcript	0.232199472451328
CD14	ESR1	-0.551428349393268	transcript-transcript	0.551428349393268
CD14	CTSL	0.314614635188016	transcript-transcript	0.314614635188016
NFKB1	CCL5	-0.761875970608307	transcript-transcript	0.761875970608307
CASP1	JAK2	0.68721095724901	transcript-transcript	0.68721095724901
CASP1	CTSB	0.318011243302777	transcript-transcript	0.318011243302777
CASP1	CD14	-0.110671650220108	transcript-transcript	0.110671650220108
MAPK1	VEGFA	0.471463553436374	transcript-transcript	0.471463553436374
CCL4	CCL3	0.646475591683217	transcript-transcript	0.646475591683217
CCL4	CCL2	0.258608413171282	transcript-transcript	0.258608413171282
B2M	CCL4	-0.283199413331809	transcript-transcript	0.283199413331809
STAT1	CXCL10	0.523963838698315	transcript-transcript	0.523963838698315
STAT1	JAK2	0.320060083332199	transcript-transcript	0.320060083332199
STAT1	CTSL	0.163914912632468	transcript-transcript	0.163914912632468
STAT1	CD14	-0.558787277244968	transcript-transcript	0.558787277244968
STAT1	CASP1	0.362587761693496	transcript-transcript	0.362587761693496
STAT1	B2M	0.428361585769065	transcript-transcript	0.428361585769065
IL1B	IL1RN	0.745572205608183	transcript-transcript	0.745572205608183
IL1B	NFKB1	0.721920746405501	transcript-transcript	0.721920746405501
IL1R2	STAT3	0.805021790801061	transcript-transcript	0.805021790801061
IRF1	CCL5	-0.401947593625724	transcript-transcript	0.401947593625724
IRF1	CTSL	0.110999420361955	transcript-transcript	0.110999420361955
IRF1	CD14	-0.228894902154131	transcript-transcript	0.228894902154131
IRF1	CASP1	0.678887919104611	transcript-transcript	0.678887919104611
IRF1	B2M	0.706191674431535	transcript-transcript	0.706191674431535
IRF1	STAT1	0.59757701777232	transcript-transcript	0.59757701777232
IRF1	IL1B	0.528986633264975	transcript-transcript	0.528986633264975
PTPN6	CD19	-0.125818115803365	transcript-transcript	0.125818115803365
PTPN6	CASP1	0.694535340927041	transcript-transcript	0.694535340927041
LYZ	CCL5	-0.267338158286821	transcript-transcript	0.267338158286821
LYZ	ESR1	0.194559929021608	transcript-transcript	0.194559929021608
LYZ	CTSL	0.135876195716384	transcript-transcript	0.135876195716384
LYZ	NFKB1	0.221141445514796	transcript-transcript	0.221141445514796
LYZ	IRF1	-0.173076791323306	transcript-transcript	0.173076791323306
FCER1G	CCL2	-0.594041057601173	transcript-transcript	0.594041057601173
FCER1G	CTSB	0.641398764711005	transcript-transcript	0.641398764711005
FCER1G	CCL5	-0.56540407681577	transcript-transcript	0.56540407681577
FCER1G	VWF	-0.226009195709947	transcript-transcript	0.226009195709947
FCER1G	ESR1	-0.227545902133187	transcript-transcript	0.227545902133187
FCER1G	CTSL	0.358646270159612	transcript-transcript	0.358646270159612
FCER1G	CD14	0.253084873962059	transcript-transcript	0.253084873962059
FCER1G	NFKB1	0.638985935689496	transcript-transcript	0.638985935689496
FCER1G	CASP1	0.697627078571508	transcript-transcript	0.697627078571508
FCER1G	IRF1	0.52651214686898	transcript-transcript	0.52651214686898
FCER1G	LYZ	-0.104660755975298	transcript-transcript	0.104660755975298
IL7R	IL1RN	-0.608392898161087	transcript-transcript	0.608392898161087
IL7R	CCL5	0.623722801530557	transcript-transcript	0.623722801530557
IL7R	CTSL	-0.218713821704766	transcript-transcript	0.218713821704766
IL7R	NFKB1	-0.513243363862148	transcript-transcript	0.513243363862148
