GeneID1	GeneID2	PCC_moderate	feature_type	PCC_moderate_abs
ICAM1	CXCL8	0.316259725580253	transcript-transcript	0.316259725580253
ICAM1	IL1B	0.841333913256933	transcript-transcript	0.841333913256933
ICAM1	TNF	0.499127222864707	transcript-transcript	0.499127222864707
IFNG	GZMB	0.495526986747192	transcript-transcript	0.495526986747192
CD8A	GZMB	0.667541850179769	transcript-transcript	0.667541850179769
CXCL8	MEFV	0.204532332967913	transcript-transcript	0.204532332967913
IL1B	MEFV	0.430894669032906	transcript-transcript	0.430894669032906
IL1B	CXCL8	0.456395263997085	transcript-transcript	0.456395263997085
TNF	IL1B	0.623887650246745	transcript-transcript	0.623887650246745
IL10RA	GZMB	0.267168071181478	transcript-transcript	0.267168071181478
ENPEP	DPP4	-0.475778590471008	transcript-transcript	0.475778590471008
CCL4	MEFV	0.448293022779144	transcript-transcript	0.448293022779144
CCL4	CXCL8	0.369622820951635	transcript-transcript	0.369622820951635
CCL4	IL1B	0.12281521211271	transcript-transcript	0.12281521211271
ICAM1	MEFV	0.404527417253011	transcript-transcript	0.404527417253011
ICAM1	CXCL8	0.316259725580253	transcript-transcript	0.316259725580253
ICAM1	IL1B	0.841333913256933	transcript-transcript	0.841333913256933
DPP4	CXCL8	0.282354723755767	transcript-transcript	0.282354723755767
TNF	IL1B	0.623887650246745	transcript-transcript	0.623887650246745
MEN1	FASTK	0.867049655840943	transcript-transcript	0.867049655840943
MAP2K1	CD8A	-0.532360148713345	transcript-transcript	0.532360148713345
LCK	CD4	0.851196019219423	transcript-transcript	0.851196019219423
CCL4	CD8A	0.246031704327952	transcript-transcript	0.246031704327952
CCL4	CXCL8	0.369622820951635	transcript-transcript	0.369622820951635
RNMT	SCAI	0.687816643497342	transcript-transcript	0.687816643497342
CXCL8	ITGAM	-0.105347285166666	transcript-transcript	0.105347285166666
IL1B	ANPEP	0.264047351316514	transcript-transcript	0.264047351316514
IL1B	CXCL8	0.456395263997085	transcript-transcript	0.456395263997085
DPP4	ITGAM	-0.31278908501425	transcript-transcript	0.31278908501425
CXCL2	ANPEP	0.184701807696098	transcript-transcript	0.184701807696098
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
LCK	CD8A	0.625207362815542	transcript-transcript	0.625207362815542
ICAM1	ITGAM	0.203384866467468	transcript-transcript	0.203384866467468
GZMB	PYCARD	0.199922568931172	transcript-transcript	0.199922568931172
CALR	PYCARD	0.326589421924813	transcript-transcript	0.326589421924813
IFNG	GZMB	0.495526986747192	transcript-transcript	0.495526986747192
SELP	ITGAM	0.531944865525702	transcript-transcript	0.531944865525702
CD4	IFNG	0.114778336714287	transcript-transcript	0.114778336714287
CD4	CD8A	0.390113603437335	transcript-transcript	0.390113603437335
IL1B	CXCL8	0.456395263997085	transcript-transcript	0.456395263997085
DPP4	ANPEP	-0.133276412053834	transcript-transcript	0.133276412053834
IL10RA	CD4	0.604441480451565	transcript-transcript	0.604441480451565
CXCL2	ANPEP	0.184701807696098	transcript-transcript	0.184701807696098
ASGR2	MAP2K1	-0.382118067862945	transcript-transcript	0.382118067862945
LCK	IL10RA	0.484995542959371	transcript-transcript	0.484995542959371
GZMB	PYCARD	0.199922568931172	transcript-transcript	0.199922568931172
IL1B	CXCL8	0.456395263997085	transcript-transcript	0.456395263997085
TNF	IFNG	0.147249402460881	transcript-transcript	0.147249402460881
TNF	IL1B	0.623887650246745	transcript-transcript	0.623887650246745
CD8B	CD8A	0.862702914303041	transcript-transcript	0.862702914303041
ASGR2	CXCL2	0.626323459046681	transcript-transcript	0.626323459046681
LCK	CD8A	0.625207362815542	transcript-transcript	0.625207362815542
LCK	CD8B	0.848958791052006	transcript-transcript	0.848958791052006
CCL4	IFNG	0.134005949659096	transcript-transcript	0.134005949659096
CCL4	IL1B	0.12281521211271	transcript-transcript	0.12281521211271
CCL4	LCK	-0.246409442665834	transcript-transcript	0.246409442665834
CD4	CD8A	0.390113603437335	transcript-transcript	0.390113603437335
CXCL8	ITGAM	-0.105347285166666	transcript-transcript	0.105347285166666
IL10RA	ITGAM	-0.308465660280761	transcript-transcript	0.308465660280761
IL10RA	CD8A	0.440723200470209	transcript-transcript	0.440723200470209
IL10RA	CD4	0.604441480451565	transcript-transcript	0.604441480451565
CXCL2	IL10RA	0.659560161079829	transcript-transcript	0.659560161079829
ASGR2	FURIN	-0.335353602652408	transcript-transcript	0.335353602652408
LCK	CD8A	0.625207362815542	transcript-transcript	0.625207362815542
CCL4	CD4	-0.31590290625645	transcript-transcript	0.31590290625645
ICAM1	ITGAM	0.203384866467468	transcript-transcript	0.203384866467468
FASTK	BRAF	-0.853728241239955	transcript-transcript	0.853728241239955
CD4	ITGAM	-0.614064697922433	transcript-transcript	0.614064697922433
CXCL8	ITGAM	-0.105347285166666	transcript-transcript	0.105347285166666
CXCL8	CD4	0.121419270927542	transcript-transcript	0.121419270927542
CD8B	CD8A	0.862702914303041	transcript-transcript	0.862702914303041
IL10RA	ITGAM	-0.308465660280761	transcript-transcript	0.308465660280761
IL10RA	CD8A	0.440723200470209	transcript-transcript	0.440723200470209
IL10RA	CXCL8	0.35541042816585	transcript-transcript	0.35541042816585
IL10RA	CD8B	0.338648556903699	transcript-transcript	0.338648556903699
LCK	CD8A	0.625207362815542	transcript-transcript	0.625207362815542
LCK	IL10RA	0.484995542959371	transcript-transcript	0.484995542959371
CCL4	CD8A	0.246031704327952	transcript-transcript	0.246031704327952
CCL4	IL10RA	0.191907481590332	transcript-transcript	0.191907481590332
ICAM1	ITGAM	0.203384866467468	transcript-transcript	0.203384866467468
ICAM1	CXCL8	0.316259725580253	transcript-transcript	0.316259725580253
EPCAM	CALR	-0.365454809053795	transcript-transcript	0.365454809053795
CD8A	GZMB	0.667541850179769	transcript-transcript	0.667541850179769
DPP4	FURIN	-0.61920575345826	transcript-transcript	0.61920575345826
TNF	IFNG	0.147249402460881	transcript-transcript	0.147249402460881
TNF	IL1B	0.623887650246745	transcript-transcript	0.623887650246745
CD8B	ANPEP	-0.317179200357453	transcript-transcript	0.317179200357453
IL10RA	GZMB	0.267168071181478	transcript-transcript	0.267168071181478
IL10RA	CD4	0.604441480451565	transcript-transcript	0.604441480451565
ELANE	CXCL8	-0.234320168060614	transcript-transcript	0.234320168060614
LCK	IL10RA	0.484995542959371	transcript-transcript	0.484995542959371
CCL4	GZMB	0.316827463223309	transcript-transcript	0.316827463223309
CCL4	CD8A	0.246031704327952	transcript-transcript	0.246031704327952
CCL4	IL1B	0.12281521211271	transcript-transcript	0.12281521211271
CCL4	IL10RA	0.191907481590332	transcript-transcript	0.191907481590332
ICAM1	IL1B	0.841333913256933	transcript-transcript	0.841333913256933
IL10RA	SELP	-0.616947667534088	transcript-transcript	0.616947667534088
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
ELANE	GZMB	-0.348046813148006	transcript-transcript	0.348046813148006
ASGR2	ANPEP	0.270654263392032	transcript-transcript	0.270654263392032
ICAM1	CXCL8	0.316259725580253	transcript-transcript	0.316259725580253
LCK	IL10	-0.326856466083601	transcript-transcript	0.326856466083601
CCL4	IL1B	0.12281521211271	transcript-transcript	0.12281521211271
ICAM1	TNF	0.499127222864707	transcript-transcript	0.499127222864707
IFNG	GZMB	0.495526986747192	transcript-transcript	0.495526986747192
CD8A	GZMB	0.667541850179769	transcript-transcript	0.667541850179769
CD8A	IFNG	0.705223019202319	transcript-transcript	0.705223019202319
CD4	CD8A	0.390113603437335	transcript-transcript	0.390113603437335
IL1B	CXCL8	0.456395263997085	transcript-transcript	0.456395263997085
TNF	IL10	-0.146692013515928	transcript-transcript	0.146692013515928
KPNA2	EPCAM	0.317475368137786	transcript-transcript	0.317475368137786
IL10RA	GZMB	0.267168071181478	transcript-transcript	0.267168071181478
IL10RA	CD8A	0.440723200470209	transcript-transcript	0.440723200470209
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
LCK	IL10RA	0.484995542959371	transcript-transcript	0.484995542959371
CCL4	GZMB	0.316827463223309	transcript-transcript	0.316827463223309
CCL4	IFNG	0.134005949659096	transcript-transcript	0.134005949659096
CCL4	CD8A	0.246031704327952	transcript-transcript	0.246031704327952
IFNG	GZMB	0.495526986747192	transcript-transcript	0.495526986747192
CD8A	GZMB	0.667541850179769	transcript-transcript	0.667541850179769
CD8A	IFNG	0.705223019202319	transcript-transcript	0.705223019202319
ENPEP	SELP	0.415730507924966	transcript-transcript	0.415730507924966
ANPEP	ACE	-0.196113748484161	transcript-transcript	0.196113748484161
TNF	IL10	-0.146692013515928	transcript-transcript	0.146692013515928
ELANE	CXCL2	-0.214086315648952	transcript-transcript	0.214086315648952
LCK	CD8A	0.625207362815542	transcript-transcript	0.625207362815542
CCL4	IL10RA	0.191907481590332	transcript-transcript	0.191907481590332
CD8A	SELP	-0.137033576352301	transcript-transcript	0.137033576352301
TNF	IL1B	0.623887650246745	transcript-transcript	0.623887650246745
MEN1	FASTK	0.867049655840943	transcript-transcript	0.867049655840943
CXCL2	CD8A	0.250607287270239	transcript-transcript	0.250607287270239
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
LCK	CD4	0.851196019219423	transcript-transcript	0.851196019219423
CCL4	CD8A	0.246031704327952	transcript-transcript	0.246031704327952
ICAM1	CD8A	-0.134366556840445	transcript-transcript	0.134366556840445
ACE	CALR	0.5742930186107	transcript-transcript	0.5742930186107
IFNG	GZMB	0.495526986747192	transcript-transcript	0.495526986747192
ANPEP	ITGAM	0.238338049924881	transcript-transcript	0.238338049924881
MEN1	CALR	0.669074508416672	transcript-transcript	0.669074508416672
MEN1	ACE	0.797629508941092	transcript-transcript	0.797629508941092
ASGR2	ITGAM	-0.451882172657859	transcript-transcript	0.451882172657859
ICAM1	GZMB	-0.329165885081713	transcript-transcript	0.329165885081713
ICAM1	LCK	-0.165063678886204	transcript-transcript	0.165063678886204
ITGAM	GZMB	-0.33386934790757	transcript-transcript	0.33386934790757
TNF	IL10	-0.146692013515928	transcript-transcript	0.146692013515928
IL10RA	ITGAM	-0.308465660280761	transcript-transcript	0.308465660280761
ICAM1	CXCL8	0.316259725580253	transcript-transcript	0.316259725580253
IL10RA	IVD	0.532413488238294	transcript-transcript	0.532413488238294
IFNG	IL10	0.341924737550848	transcript-transcript	0.341924737550848
CD4	IFNG	0.114778336714287	transcript-transcript	0.114778336714287
CXCL8	CD4	0.121419270927542	transcript-transcript	0.121419270927542
IL1B	CXCL8	0.456395263997085	transcript-transcript	0.456395263997085
DPP4	ANPEP	-0.133276412053834	transcript-transcript	0.133276412053834
IL10RA	CD4	0.604441480451565	transcript-transcript	0.604441480451565
ASGR2	IL1B	0.206516281178934	transcript-transcript	0.206516281178934
ICAM1	IFNG	-0.1817406704413	transcript-transcript	0.1817406704413
ICAM1	CXCL8	0.316259725580253	transcript-transcript	0.316259725580253
ITGAM	MEFV	0.701429371711622	transcript-transcript	0.701429371711622
IFNG	GZMB	0.495526986747192	transcript-transcript	0.495526986747192
CD4	CD8A	0.390113603437335	transcript-transcript	0.390113603437335
IL1B	CXCL8	0.456395263997085	transcript-transcript	0.456395263997085
DPP4	FURIN	-0.61920575345826	transcript-transcript	0.61920575345826
EPOR	ITGAM	-0.260033365016898	transcript-transcript	0.260033365016898
IL10RA	GZMB	0.267168071181478	transcript-transcript	0.267168071181478
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
ELANE	MEFV	-0.216073508287363	transcript-transcript	0.216073508287363
ICAM1	ACE	-0.295220114408889	transcript-transcript	0.295220114408889
ICAM1	CXCL8	0.316259725580253	transcript-transcript	0.316259725580253
ICAM1	IL1B	0.841333913256933	transcript-transcript	0.841333913256933
EPCAM	IL10	0.360590249563152	transcript-transcript	0.360590249563152
GFAP	BRAF	-0.115111993969135	transcript-transcript	0.115111993969135
CPOX	ITGAM	-0.1319495996233	transcript-transcript	0.1319495996233
CPOX	ANPEP	-0.129726006914535	transcript-transcript	0.129726006914535
CD8A	IVD	0.342519005351794	transcript-transcript	0.342519005351794
CD8A	IFNG	0.705223019202319	transcript-transcript	0.705223019202319
DPP4	BRAF	-0.405060445809915	transcript-transcript	0.405060445809915
TNF	DPP4	0.226796137756439	transcript-transcript	0.226796137756439
EPOR	IL1B	-0.194939119803635	transcript-transcript	0.194939119803635
IL10RA	BRAF	-0.27979266371654	transcript-transcript	0.27979266371654
CXCL2	PPARA	0.198424661891938	transcript-transcript	0.198424661891938
ASGR2	IL10RA	0.818840489669444	transcript-transcript	0.818840489669444
ENPEP	IFNG	-0.134959162881238	transcript-transcript	0.134959162881238
ENPEP	CPOX	-0.619879271703085	transcript-transcript	0.619879271703085
LCK	ACE	0.701738143601576	transcript-transcript	0.701738143601576
CCL4	EPCAM	0.472025448091679	transcript-transcript	0.472025448091679
CD8A	CALR	0.407538108738217	transcript-transcript	0.407538108738217
PYCARD	MEFV	-0.357851493555469	transcript-transcript	0.357851493555469
ELANE	GZMB	-0.348046813148006	transcript-transcript	0.348046813148006
LCK	CD4	0.851196019219423	transcript-transcript	0.851196019219423
IL1B	PKM	-0.33386507010153	transcript-transcript	0.33386507010153
MAP2K1	PKM	-0.4466908978545	transcript-transcript	0.4466908978545
PYCARD	MEFV	-0.357851493555469	transcript-transcript	0.357851493555469
CD8B	CD8A	0.862702914303041	transcript-transcript	0.862702914303041
CD8B	CD4	0.598311891197401	transcript-transcript	0.598311891197401
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
ENPEP	ANPEP	0.117176582765141	transcript-transcript	0.117176582765141
LCK	CD4	0.851196019219423	transcript-transcript	0.851196019219423
PYCARD	MEFV	-0.357851493555469	transcript-transcript	0.357851493555469
CD8B	CD8A	0.862702914303041	transcript-transcript	0.862702914303041
CD8B	CD4	0.598311891197401	transcript-transcript	0.598311891197401
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
ENPEP	ANPEP	0.117176582765141	transcript-transcript	0.117176582765141
LCK	CD4	0.851196019219423	transcript-transcript	0.851196019219423
MAP2K1	BRAF	0.87403500384969	transcript-transcript	0.87403500384969
PYCARD	MEFV	-0.357851493555469	transcript-transcript	0.357851493555469
ELANE	GZMB	-0.348046813148006	transcript-transcript	0.348046813148006
LCK	CD8A	0.625207362815542	transcript-transcript	0.625207362815542
PYCARD	MEFV	-0.357851493555469	transcript-transcript	0.357851493555469
CD8A	CALR	0.407538108738217	transcript-transcript	0.407538108738217
KPNA2	RNMT	-0.156055070677651	transcript-transcript	0.156055070677651
ELANE	GZMB	-0.348046813148006	transcript-transcript	0.348046813148006
MAP2K1	BRAF	0.87403500384969	transcript-transcript	0.87403500384969
MAP2K1	CALR	-0.74068229333603	transcript-transcript	0.74068229333603
LCK	CD4	0.851196019219423	transcript-transcript	0.851196019219423
PYCARD	MEFV	-0.357851493555469	transcript-transcript	0.357851493555469
CD8B	CD8A	0.862702914303041	transcript-transcript	0.862702914303041
MAP2K1	BRAF	0.87403500384969	transcript-transcript	0.87403500384969
LCK	CD4	0.851196019219423	transcript-transcript	0.851196019219423
ICAM1	ITGAM	0.203384866467468	transcript-transcript	0.203384866467468
CD4	CD8A	0.390113603437335	transcript-transcript	0.390113603437335
KPNA2	IFNG	0.121358038989376	transcript-transcript	0.121358038989376
CD8B	CD8A	0.862702914303041	transcript-transcript	0.862702914303041
MAP2K1	BRAF	0.87403500384969	transcript-transcript	0.87403500384969
LCK	CALR	0.543238322395434	transcript-transcript	0.543238322395434
PYCARD	MEFV	-0.357851493555469	transcript-transcript	0.357851493555469
CD4	CD8A	0.390113603437335	transcript-transcript	0.390113603437335
TNF	IFNG	0.147249402460881	transcript-transcript	0.147249402460881
CD8B	CD4	0.598311891197401	transcript-transcript	0.598311891197401
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
ICAM1	CXCL8	0.316259725580253	transcript-transcript	0.316259725580253
PYCARD	MEFV	-0.357851493555469	transcript-transcript	0.357851493555469
IFNG	IL10	0.341924737550848	transcript-transcript	0.341924737550848
CD8B	CD8A	0.862702914303041	transcript-transcript	0.862702914303041
IL10RA	EPOR	-0.229388988744165	transcript-transcript	0.229388988744165
CXCL2	CXCL8	0.224727342001797	transcript-transcript	0.224727342001797
ELANE	GZMB	-0.348046813148006	transcript-transcript	0.348046813148006
ASGR2	SELP	-0.547229474092676	transcript-transcript	0.547229474092676
ENPEP	ANPEP	0.117176582765141	transcript-transcript	0.117176582765141
CCL4	CXCL8	0.369622820951635	transcript-transcript	0.369622820951635
CCL4	CXCL2	0.225916684391822	transcript-transcript	0.225916684391822
FCGR3A	CXCL10	0.246888209235587	transcript-transcript	0.246888209235587
NCAM1	PROS1	-0.204018842002899	transcript-transcript	0.204018842002899
MS4A1	F8	-0.102290026239709	transcript-transcript	0.102290026239709
CTSB	FCGR3A	0.301329483172703	transcript-transcript	0.301329483172703
CCL5	CCL3	0.159324409399876	transcript-transcript	0.159324409399876
CCL5	MS4A1	-0.124490722623767	transcript-transcript	0.124490722623767
JAK1	CCL2	-0.240314535237612	transcript-transcript	0.240314535237612
ESR1	CCL3	-0.17577693107478	transcript-transcript	0.17577693107478
C5	GOT1	-0.446796400486347	transcript-transcript	0.446796400486347
C5	ABCB1	0.101691727387745	transcript-transcript	0.101691727387745
CD14	ESR1	-0.452398736616331	transcript-transcript	0.452398736616331
NFKB1	JAK1	0.762068092765896	transcript-transcript	0.762068092765896
CASP1	LTF	-0.427868794002646	transcript-transcript	0.427868794002646
CASP1	FCGR3A	0.690618372652881	transcript-transcript	0.690618372652881
MAPK1	SERPINF2	-0.254789097253669	transcript-transcript	0.254789097253669
ERBB2	CD14	0.52077216303987	transcript-transcript	0.52077216303987
CCL4	CCL3	0.776657033279976	transcript-transcript	0.776657033279976
CCL4	FCGR3A	0.157942045554914	transcript-transcript	0.157942045554914
RTN2	BSG	0.403082447458524	transcript-transcript	0.403082447458524
B2M	LTF	-0.412708806778173	transcript-transcript	0.412708806778173
B2M	FCGR3A	0.742918452455813	transcript-transcript	0.742918452455813
B2M	CASP1	0.867752745403586	transcript-transcript	0.867752745403586
STAT1	CXCL10	0.632942118135262	transcript-transcript	0.632942118135262
STAT1	CASP1	0.820439592780525	transcript-transcript	0.820439592780525
STAT1	B2M	0.668207761885408	transcript-transcript	0.668207761885408
IL6ST	SERPINF2	-0.616149074903552	transcript-transcript	0.616149074903552
IL6ST	STAT3	0.657127829249352	transcript-transcript	0.657127829249352
IL1R2	MUC1	0.19534837247796	transcript-transcript	0.19534837247796
IRF1	LTF	-0.362169162981239	transcript-transcript	0.362169162981239
IRF1	FCGR3A	0.605803909948472	transcript-transcript	0.605803909948472
IRF1	CASP1	0.813645511875907	transcript-transcript	0.813645511875907
IRF1	B2M	0.783231515487605	transcript-transcript	0.783231515487605
IRF1	STAT1	0.70670863847073	transcript-transcript	0.70670863847073
PTPN6	MUC1	0.34189146844175	transcript-transcript	0.34189146844175
FCER1G	CCL3	0.17524326536768	transcript-transcript	0.17524326536768
FCER1G	F8	0.482595879771026	transcript-transcript	0.482595879771026
FCER1G	MS4A1	-0.199150613095436	transcript-transcript	0.199150613095436
FCER1G	CCL5	-0.235483637387738	transcript-transcript	0.235483637387738
FCER1G	ESR1	-0.270587721874068	transcript-transcript	0.270587721874068
IL7R	CCL2	0.178163457204292	transcript-transcript	0.178163457204292
FCGR3A	IL6R	0.720527942411784	transcript-transcript	0.720527942411784
IL1RN	FCGR3A	0.573978794474688	transcript-transcript	0.573978794474688
ABCB1	TLR7	0.270793509199208	transcript-transcript	0.270793509199208
MS4A1	IL7	0.194536723777226	transcript-transcript	0.194536723777226
CD19	MS4A1	0.810911182616808	transcript-transcript	0.810911182616808
MME	ADAM17	0.819092068952884	transcript-transcript	0.819092068952884
CCL2	IL1RN	0.361244331879621	transcript-transcript	0.361244331879621
CCL5	CCL2	0.301281014935023	transcript-transcript	0.301281014935023
VWF	CCL2	-0.403794513064552	transcript-transcript	0.403794513064552
VWF	CCL5	0.210227524960939	transcript-transcript	0.210227524960939
JAK1	IL7	0.270064432116844	transcript-transcript	0.270064432116844
ESR1	CCL5	-0.168916440913895	transcript-transcript	0.168916440913895
STAT3	IL1RN	0.502970931412621	transcript-transcript	0.502970931412621
STAT3	JAK1	0.860342672579294	transcript-transcript	0.860342672579294
CTSL	CCL2	0.682912153354651	transcript-transcript	0.682912153354651
CTSL	CTSB	0.356311870061413	transcript-transcript	0.356311870061413
CTSL	CCL5	0.260883977069001	transcript-transcript	0.260883977069001
CTSL	VWF	-0.521514892274824	transcript-transcript	0.521514892274824
CD14	CTSB	0.142389584241382	transcript-transcript	0.142389584241382
CD14	CCL5	0.338225098927357	transcript-transcript	0.338225098927357
CD14	VWF	-0.140524227878691	transcript-transcript	0.140524227878691
CD14	ESR1	-0.452398736616331	transcript-transcript	0.452398736616331
CD14	CTSL	0.500055862820339	transcript-transcript	0.500055862820339
NFKB1	CCL5	-0.746596872852435	transcript-transcript	0.746596872852435
CASP1	JAK2	0.65258148521887	transcript-transcript	0.65258148521887
CASP1	CTSB	0.406281651863162	transcript-transcript	0.406281651863162
CASP1	CTSL	0.340339677715165	transcript-transcript	0.340339677715165
MAPK1	VEGFA	0.162042941502169	transcript-transcript	0.162042941502169
CCL4	CCL3	0.776657033279976	transcript-transcript	0.776657033279976
B2M	CCL4	0.313909221099093	transcript-transcript	0.313909221099093
STAT1	CCL3	0.111067748043205	transcript-transcript	0.111067748043205
STAT1	CXCL10	0.632942118135262	transcript-transcript	0.632942118135262
STAT1	JAK2	0.715617778700759	transcript-transcript	0.715617778700759
STAT1	CCL5	-0.151009741108944	transcript-transcript	0.151009741108944
STAT1	CTSL	0.305916273215679	transcript-transcript	0.305916273215679
STAT1	CD14	-0.219473194773894	transcript-transcript	0.219473194773894
STAT1	CASP1	0.820439592780525	transcript-transcript	0.820439592780525
STAT1	B2M	0.668207761885408	transcript-transcript	0.668207761885408
IL1B	IL1RN	0.635872991207268	transcript-transcript	0.635872991207268
IL1B	NFKB1	0.702342722686068	transcript-transcript	0.702342722686068
IL1R2	STAT3	0.674406064567821	transcript-transcript	0.674406064567821
IRF1	CCL5	-0.210180117466002	transcript-transcript	0.210180117466002
IRF1	CASP1	0.813645511875907	transcript-transcript	0.813645511875907
IRF1	B2M	0.783231515487605	transcript-transcript	0.783231515487605
IRF1	STAT1	0.70670863847073	transcript-transcript	0.70670863847073
IRF1	IL1B	0.514525580625592	transcript-transcript	0.514525580625592
PTPN6	CD19	-0.10576077800513	transcript-transcript	0.10576077800513
PTPN6	CASP1	0.571840091407288	transcript-transcript	0.571840091407288
LYZ	CCL5	-0.277951863164198	transcript-transcript	0.277951863164198
LYZ	VWF	-0.562050924698591	transcript-transcript	0.562050924698591
LYZ	CTSL	0.347055706548196	transcript-transcript	0.347055706548196
LYZ	NFKB1	0.391489612587828	transcript-transcript	0.391489612587828
LYZ	IRF1	-0.117462920511769	transcript-transcript	0.117462920511769
FCER1G	CTSB	0.163804704566182	transcript-transcript	0.163804704566182
FCER1G	CCL5	-0.235483637387738	transcript-transcript	0.235483637387738
FCER1G	VWF	0.106204934283863	transcript-transcript	0.106204934283863
FCER1G	ESR1	-0.270587721874068	transcript-transcript	0.270587721874068
FCER1G	CTSL	0.120809820367872	transcript-transcript	0.120809820367872
FCER1G	CD14	-0.142881725440919	transcript-transcript	0.142881725440919
FCER1G	NFKB1	0.512243167382379	transcript-transcript	0.512243167382379
FCER1G	CASP1	0.793694328676078	transcript-transcript	0.793694328676078
FCER1G	STAT1	0.467062665437442	transcript-transcript	0.467062665437442
FCER1G	IRF1	0.60609368694458	transcript-transcript	0.60609368694458
FCER1G	LYZ	-0.247386581433246	transcript-transcript	0.247386581433246
IL7R	IL1RN	-0.279889619983011	transcript-transcript	0.279889619983011
IL7R	CCL5	0.209986896414422	transcript-transcript	0.209986896414422
IL7R	CTSL	0.337170478393081	transcript-transcript	0.337170478393081
IL7R	NFKB1	-0.107956666019308	transcript-transcript	0.107956666019308
IL7R	LYZ	0.725262012761166	transcript-transcript	0.725262012761166
SH2D3C	ADAMTS2	0.318709579257982	transcript-transcript	0.318709579257982
ZFYVE9	CENPJ	0.155934460980456	transcript-transcript	0.155934460980456
PRF1	TLR4	-0.380168197620868	transcript-transcript	0.380168197620868
FCGR3B	TLR7	-0.216715078357901	transcript-transcript	0.216715078357901
FCGR3B	PRF1	-0.492220143291607	transcript-transcript	0.492220143291607
STS	G6PD	0.213345617928916	transcript-transcript	0.213345617928916
CTRL	SH2D3C	0.602419800133698	transcript-transcript	0.602419800133698
CTRL	MAS1	0.285846895645306	transcript-transcript	0.285846895645306
TLR3	PRF1	0.544890737166286	transcript-transcript	0.544890737166286
LTF	LAMP3	-0.193212666766971	transcript-transcript	0.193212666766971
LTF	PRF1	-0.353715107470375	transcript-transcript	0.353715107470375
LTF	MUC1	0.133133811220117	transcript-transcript	0.133133811220117
SLC33A1	SOAT1	0.209305189115977	transcript-transcript	0.209305189115977
PLG	IL6R	-0.23060182667581	transcript-transcript	0.23060182667581
PLG	PROS1	-0.28718730761625	transcript-transcript	0.28718730761625
PLG	C3	0.281181519503671	transcript-transcript	0.281181519503671
JAK2	FCGR3B	0.72672103983218	transcript-transcript	0.72672103983218
MS4A1	IL2RA	0.260456877560977	transcript-transcript	0.260456877560977
CD19	IL2RA	0.295773466980884	transcript-transcript	0.295773466980884
