"feature"	"statistic"
"GIGYF2"	1135.06660165751
"IRF3"	1125.6679398694
"PIK3R1"	1119.15100242409
"MME"	1095.11162431879
"OSTF1"	1081.63516600733
"MAK16"	1077.87871465753
"CDV3"	1075.79051373947
"GATA5"	1069.9999898407
"GORAB"	1069.99998872553
"RACGAP1"	1069.87499029126
"MGLL"	1067.49898053806
"CXCL9"	1058.56739319705
"FKBP1A"	1052.12199779077
"MAPK8"	1004.40436670143
"MARCKSL1"	989.666721959955
"BRCA1"	988.729400178094
"BIRC3"	982.974262132067
"DR1"	981.849688153346
"FURIN"	980.867291123364
"CA2"	962.307732646239
"GBP1"	954.258252831365
"HLA-DRA"	952.204379857471
"LY6E"	952.035156244442
"AVP"	937.259117849276
"SOCS1"	928.489956550554
"IFI27"	918.003095508057
"FN1"	915.123981611716
"IFNAR2"	904.882616354986
"ACP5"	902.92376253734
"APOE"	899.495964218056
"RELA"	898.86564748398
"CD40"	896.600164212711
"TAB1"	892.150402529235
"MALT1"	878.956826719147
"ISG20"	874.90034322008
"LYN"	865.441092120516
"CTSC"	862.619761696277
"ELANE"	859.647648498736
"RUNX1"	841.212437564096
"TRIM21"	836.601077034253
"USP13"	835.389171083041
"TBX21"	834.118522330117
"IRF8"	832.324054899114
"EBI3"	829.903730738121
"FCGR2B"	824.211441796974
"IFITM3"	819.298600247473
"IFIH1"	807.208409646426
"KIT"	797.716319965151
"PSME3"	791.557212879935
"GATA3"	787.582354200576
"ZBP1"	777.899411622519
"NPC2"	776.288173362418
"CTSL"	744.686512739021
"RRP8"	733.312172893529
"PIAS2"	732.787287801145
"DUSP4"	717.781160412976
"CTNNB1"	716.01404554641
"KAT8"	712.286442630763
"FLOT2"	708.217739399595
"CHUK"	705.081807924513
"IL15"	701.787865069637
"CDK9"	697.481665555334
"PIPOX"	688.645630560122
"SP1"	688.227198551847
"ZNF608"	679.6431813197
"MAPK3"	677.71728513545
"BTK"	673.66733500042
"FLNB"	664.170068633389
"TIGIT"	662.952680527764
"LILRB2"	661.542862405811
"TRIM56"	661.50292050254
"APEX1"	658.479871202067
"IRF7"	657.727364989876
"APOC2"	655.527964992894
"CCL18"	650.562450762812
"CD3G"	650.335096996396
"TNFRSF21"	648.151646096207
"HNRNPK"	640.40165454726
"CD27"	637.554397898659
"CFB"	636.687089952566
"FCER1G"	634.830967129827
"C5"	634.678071993711
"MAMLD1"	634.575776746908
"TOMM70"	633.541240766825
"AP2M1"	627.899527422179
"JAK1"	625.441209065825
"NSG1"	622.714977217613
"LILRB1"	611.543244115676
"IRF6"	609.716323609029
"CD8A"	605.841926769453
"PADI2"	598.284172779915
"HPSE2"	596.714069066633
"BCL6"	596.241321044156
"CAST"	595.364073801561
"DAAM1"	594.907120024202
"IGF2R"	593.543662908803
"RUBCN"	587.659943660461
"RHBDF2"	587.602046607402
"IP6K1"	585.615411433823
"C2"	585.139786662963
"BMP2"	575.661841912916
"COL25A1"	568.55304978056
"HMGB1"	568.541572755662
"PPARG"	566.143668425574
"CD38"	561.001568894922
"SERTAD2"	558.904892404934
"ADAR"	558.373651569167
"CD47"	545.573243958479
"ADI1"	540.795401142026
"PTPN11"	539.287314763809
"ITGAV"	537.789904108662
"TNFSF10"	536.147365783037
"CTSK"	535.592672895382
"MAF"	535.380887444645
"NUP35"	535.249990010389
"PDIK1L"	535.249989087735
"NBPF10"	535.249983978433
"MACC1"	535.124990895848
"HYLS1"	535.124990295785
"FBF1"	535.124983978398
"IFNLR1"	535.124981162757
"RNMT"	534.999982433016
"GGT2"	534.874979038222
"IL31RA"	533.874941012521
"LIFR"	533.874941012521
"FLT1"	533.309905438923
"STAT5B"	530.121125622463
"BMP2K"	529.750229915174
"ARNTL"	528.597965149434
"AHR"	525.471742345291
"CD52"	524.609529674665
"RPS16"	523.784824325932
"MMP1"	519.283869959084
"ACADM"	518.081566488961
"CD74"	516.069681713337
"SIRT7"	509.860110933589
"MAPK1"	509.816999785
"ATAT1"	508.659339288439
"ASXL1"	507.905002551975
"ARPP21"	506.189186013946
"CCR7"	505.339664458806
"F2"	502.671218569626
"GRN"	500.471526645009
"IFNGR2"	492.35919105921
"IL16"	492.035171598457
"AOC3"	489.631199766266
"BCL2A1"	478.71280016895
"SH2D3C"	474.96714782138
"CD28"	474.198972465839
"FAM3B"	471.805397155812
"MET"	469.585772081683
"HNRNPC"	465.548152455568
"PRKAG1"	465.019124060785
"COL9A2"	461.995003482436
"BRAF"	460.457372320457
"IFI44"	457.63630020773
"CSNK2A1"	456.443295849788
"TAF7"	454.023465375812
"AKAP13"	452.743909218564
"DUSP5"	447.483944490207
"GZMA"	447.33765170983
"GSDMD"	446.502776617164
"MS4A1"	438.949812895001
"ANXA1"	438.043468761968
"PF4"	436.58704666505
"CYTIP"	435.26006536955
"ITGAX"	434.952519810809
"MNAT1"	432.632129922965
"TAB2"	431.776546821852
"EDNRB"	431.412130322813
"MCAT"	429.649328316915
"CLTA"	428.409661218476
"IFIT2"	427.061626648242
"MCL1"	426.596003806131
"CCRL2"	425.073011492329
"SMARCB1"	421.764160498338
"SYK"	418.370458183404
"CSF1R"	418.081013823448
"GML"	415.178025693268
"FBN1"	404.838101592267
"STAT5A"	404.147556423393
"FBL"	401.542499001865
"PNP"	400.643611804918
"JAK2"	400.267492796084
"SPRTN"	399.995897770309
"ACE"	399.807713402268
"RAB9A"	399.383921138048
"CXCR3"	397.736621641106
"TIMP1"	396.853050720583
"MRC1"	394.193409677985
"MPI"	393.94925912726
"CASP3"	393.665365097285
"CD34"	393.361211387991
"CD83"	389.466427956285
"EHHADH"	387.36183072812
"ABCB1"	385.926352731171
"GPR183"	385.220260488807
"FCER2"	383.033197119474
"PCLAF"	382.263129289454
"RERE"	382.234247623357
"FAS"	381.963733177819
"MDM2"	381.336947350244
"CXCR6"	380.970612770731
"MAN2A1"	379.505491894673
"EPB41"	378.864454351014
"NFKB2"	378.433133113719
"CD40LG"	377.362530487024
"ENTPD1"	375.3189440501
"PLAUR"	374.661469267507
"NOD2"	374.019289221381
"FASLG"	373.728692081116
"TNF"	372.082059574451
"EDA"	370.285601504004
"FUT1"	369.465535142765
"MTUS1"	368.978650383142
"IDO1"	365.998960240122
"MSN"	365.918165408414
"CD1C"	365.111447813894
"NUS1"	363.848481956613
"ABCC2"	362.709966889987
"TNFRSF1A"	359.42440665657
"PDGFRB"	356.890416250574
"MEFV"	355.634046483539
"GRK6"	354.676527697011
"BAMBI"	354.414136578208
"OPRD1"	354.043850979966
"FCN2"	352.288490882469
"MYD88"	352.264242611757
"PRL"	349.121824141546
"MARCHF2"	346.11922819015
"PUM3"	345.584225410402
"TXN"	344.895265253364
"ASGR1"	343.549655306674
"EIF4EBP1"	342.136815646181
"CALD1"	339.888915393868
"ACKR3"	339.671463583578
"ARG1"	335.448978065838
"IL10RB"	335.235481292523
"ERBB2"	332.932668729939
"TBC1D8"	332.636087068819
"SRRM2"	331.649576030585
"APOL1"	329.512305288523
"CNR1"	327.444297649625
"ITLN1"	326.609740534674
"UQCC1"	324.665088105402
"GFER"	323.187773897209
"CDK7"	322.704579876808
"ADSL"	322.50419632353
"CRIP2"	321.195877056651
"TARS1"	319.757320462329
"CD86"	319.413786432342
"PARP1"	319.138708723503
"CAV1"	318.555544083712
"SDC2"	317.853144791408
"CD274"	317.393688314031
"SART3"	316.502837109461
"HPN"	315.046020321995
"EPCAM"	313.595015214291
"SERPINE1"	313.324596210542
"MUC1"	313.15522095211
"CXCL5"	312.576721048935
"LPAR2"	311.643361786559
"KIFC3"	309.693471048563
"CASP8"	309.33225700924
"CCR5"	307.251822288572
"JUND"	306.803259866374
"DNASE1L3"	306.356939996463
"LCN2"	304.48023811213
"F2R"	303.723797509923
"TP53"	302.73045893847
"IL2RA"	302.47068666464
"DES"	301.425338480372
"PTPRC"	300.225215488003
"MYCBP2"	298.589932395257
"MSR1"	297.794806928018
"F8"	297.625745439704
"CRH"	297.478202074915
"HDAC2"	297.400287444075
"VIM"	293.825557924289
"CD9"	288.715152336499
"GOT1"	288.613897744572
"CD48"	286.789836804921
"IL1A"	286.617449350459
"EGF"	284.767912681281
"SMARCAL1"	283.320006606512
"COA7"	282.919275841887
"GTF2B"	280.77774696916
"SNRPE"	280.299414541046
"CD2AP"	279.748438332654
"HMOX2"	279.620200757591
"ITGA5"	278.864671959934
"CHPT1"	278.582978116935
"ITK"	277.591992144368
"CREB1"	276.338094950529
"FCGR1A"	275.862842979067
"ERG"	275.839102798531
"KRAS"	275.546236840507
"SMOX"	275.344278241423
"CST3"	274.654595289577
"REL"	273.69630449408
"FDXR"	273.695150267843
"NLRP1"	271.752762826078
"CD5"	270.753649944107
"HLA-DMB"	270.72624350871
"DNMT3A"	269.866125631771
"APC"	268.794582428537
"BCL2"	268.594241057388
"BCR"	268.484281279708
"CSNK2A2"	266.938327085756
"MT2A"	265.044510963748
"OLFM1"	263.875172718093
"EEF1AKNMT"	263.251829548586
"PTPA"	262.324663009826
"SNCA"	262.132463915665
"ARIH1"	257.528572433678
"MARCHF3"	257.238048377432
"ABR"	256.894948389719
"SOD1"	256.575439391503
"CIT"	255.91119284233
"GLB1"	254.610144874052
"HMOX1"	253.518230777083
"CADM1"	253.431459984249
"PRKCB"	252.628855368577
"IL6R"	252.080433796308
"MRO"	252.032252841397
"RTN2"	250.878298856352
"NEU1"	250.580923399465
"SET"	249.91437836309
"PDXK"	248.192192270287
"USO1"	247.664873150658
"CFH"	247.48960740356
"GNRH1"	246.63300791666
"PDGFB"	243.808004514462
"IVD"	242.579959881534
"MPZ"	242.508124740197
"GNAS"	241.897720461722
"CKB"	241.857249779003
"IL1R1"	241.114101412071
"SDCBP"	240.767670945447
"NPTXR"	240.555805107054
"ADA"	240.342868515235
"PSMD2"	239.128457276799
"FOSB"	237.725560140764
"MAX"	235.746603269007
"NR3C2"	235.609235165302
"RELB"	234.017046883569
"CXCR1"	232.878262073808
"GP6"	232.098746476347
"CIITA"	231.354853463073
"CASP6"	227.797148680243
"CAMP"	227.043901165721
"ERAP1"	227.030700126132
"SHC1"	225.417421029545
"CXCL3"	225.195455731403
"HPD"	224.035416660891
"RHOH"	223.292062450195
"MPO"	222.959561385082
"ATM"	222.512633349867
"DCDC2"	222.286025859722
"IL3RA"	221.890049954162
"KLRD1"	221.646348434154
"ABL1"	219.80578207434
"CFP"	219.786617292371
"RB1"	219.63494648354
"GZMB"	219.554263357261
"AP5Z1"	218.599450849974
"DDX58"	217.014252145044
"SCD"	215.998768739886
"SETBP1"	215.962720875598
"VEGFA"	215.100539181072
"YARS1"	214.680785451572
"KRT23"	213.505737943023
"TLR4"	211.911830051821
"MMP8"	211.489181267656
"C1S"	211.040445072955
"PRKAB1"	210.943627048534
"COL9A3"	209.858341291708
"ARHGAP4"	209.810100482548
"CCL20"	209.378293685558
"ADORA2A"	208.602383171512
"AHCY"	208.537485315082
"CD68"	207.992443176429
"CYP2D6"	207.222196545238
"LEP"	206.201207526381
"ARRB2"	204.44589546585
"EDN1"	204.421655665832
"KCNMA1"	204.286535331092
"CCL16"	203.805004280666
"HP"	203.641236800039
"IDH1"	203.315348790319
"MAGEE1"	202.776651642081
"HSPA5"	199.342120996752
"L3MBTL3"	199.126528990809
"CTSB"	198.880009047128
"GTF2F2"	198.487607383212
"RIOX2"	196.92621068315
"SMC2"	196.246284350352
"UBE3A"	194.55084355627
"FAP"	192.707085578264
"SOS1"	192.484689285715
"NFIA"	191.872760364869
"GPSM3"	191.613271804363
"CREM"	191.475354168133
"PECAM1"	190.717771760404
"EPHB2"	190.688661448458
"PMP22"	190.281277328712
"B3GALNT1"	190.221849171335
"IGFBP7"	188.938628959795
"HMGCR"	188.840128698078
"ELF3"	187.499853676781
"VWF"	187.168621050589
"XCL1"	187.085763576489
"TFDP1"	186.958617240329
"HSP90AA1"	186.624171194837
"NLN"	185.521736983903
"EGR3"	185.033636118805
"ESR1"	184.496437705615
"IKBKG"	184.308918994128
"FGFBP2"	184.164552041855
"RPS21"	184.10689619163
"LNPK"	183.504721451245
"CRTAP"	181.733291602745
"ELAVL1"	181.101089809675
"HHEX"	180.204756919101
"ATF4"	180.199640786281
"PRF1"	179.884931807393
"TNFRSF11A"	179.763755682245
"MCAM"	179.569704805433
"SERPINB1"	179.274159692436
"KLKB1"	178.731897963687
"GJB6"	178.292196582943
"PDCD1"	176.725747718651
"DMD"	175.926801959104
"LGALSL"	175.837378302462
"TRIB3"	174.383771111111
"TXNRD1"	173.68934503964
"CD163"	173.121124335787
"IVNS1ABP"	171.636730260323
"ERCC2"	170.575883515814
"ARNT"	170.351248679437
"TLE3"	169.871427849914
"FCGR2A"	169.70519912609
"SERPING1"	169.073810188144
"CABIN1"	168.0893780895
"SLC2A1"	167.514897651475
"FCGR3A"	167.437274957377
"DEFA4"	165.729875242217
"PDE4DIP"	165.040815953352
"ALDH7A1"	164.563865320412
"ITGAM"	164.418835254875
"ABCA3"	164.365967314691
"HSPB1"	163.485082285122
"GNLY"	163.42882025796
"PTEN"	162.578224848673
"ABCC1"	161.192934620008
"UBE2L6"	161.009264422879
"CDKN2A"	160.611739300845
"KRT18"	160.50730390962
"PMAIP1"	159.952272422676
"LAMP3"	159.471661698485
"ADAM17"	159.17881959905
"CCDC88A"	159.118427831622
"PRKN"	159.059822760689
"GLA"	158.381331768267
"CD8B"	157.863076065498
"CD209"	157.658755450218
"SLC3A2"	156.896379165119
"HBB"	156.734131240068
"MIEN1"	156.518743259914
"HGFAC"	154.894457476107
"CEACAM1"	154.887581990073
"RASA1"	154.83226555513
"CWC15"	154.815852170195
"CUX1"	154.214079728142
"SDC1"	154.040615742474
"TP63"	153.51339216703
"FOLR2"	152.894505496272
"BRD4"	152.155723176422
"ITGB3"	150.812028728726
"IGF1R"	148.786809859356
"SLC28A2"	148.571495469222
"CCDC130"	148.549731005348
"KDM5B"	148.082657099263
"OAS2"	147.969929167098
"MAG"	146.993393535854
"PTK2B"	146.786483831126
"TLR3"	146.457365404379
"NLRP3"	146.291947929538
"LRP1"	145.245646817202
"CCL7"	143.54304851233
"EBP"	143.104317322117
"PLA2G4A"	143.047767317556
"ATR"	142.436912236681
"BSG"	141.669162692018
"MKI67"	141.023423725999
"FGF2"	140.445244362866
"DNMT3B"	140.079704173092
"CPE"	139.498422284407
"LGALS3"	139.103948737789
"AGER"	139.08266127205
"HGF"	138.073736511898
"ASL"	137.818283052593
"DDOST"	135.935047120255
"SEPTIN9"	135.907570322016
"CST7"	135.619857652412
"CD160"	135.067642822362
"KCNE1"	134.978085898831
"AXL"	133.692707267996
"CCL8"	132.838247171556
"FOXP3"	131.322897963458
"IK"	131.295762519306
"BRAP"	130.849171893125
"SCN8A"	130.713902088506
"LYZ"	130.140756881943
"SRP9"	129.729960002853
"TMEM11"	129.415599165821
"CAPG"	129.185699004524
"CPQ"	129.041498476374
"GADD45B"	128.687193032472
"ELK3"	127.247361469351
"ZFP36"	126.829968541152
"AAK1"	126.679892049302
"BCL10"	126.456338319703
"AR"	126.152847933901
"NOS3"	125.348414311553
"PLAAT4"	125.024079655835
"TCHP"	124.303946842121
"TFAP4"	124.247953208515
"ACSM3"	123.972667355492
"OSM"	123.644544730142
"NRP1"	123.454361704078
"NKRF"	122.895975960965
"LDB3"	122.62975402647
"AKT2"	122.462313860491
"ATP6AP2"	122.07356505454
"EZH2"	121.019325845638
"CSF3"	120.895036254965
"GLS"	120.649580861094
"MEN1"	119.982692935185
"LCK"	119.651759763005
"IGFBP3"	119.04218382679
"CAT"	119.026401558134
"WAS"	118.627846582791
"KRT10"	118.239736846622
"PROC"	117.73107533413
"MSX2"	117.512451023641
"IL18"	117.046445166057
"PTGDS"	116.74260518417
"PNO1"	116.227439407422
"MTG1"	114.600931305752
"SLC27A5"	113.702219640935
"MMP2"	113.70068939092
"PLIN2"	113.596862666211
"NR1H2"	113.534335707229
"PIK3CA"	113.501990565772
"TNFRSF25"	113.058992781465
"BID"	112.794743469149
"RNASE1"	112.50282816541
"RAPGEF5"	112.307438883514
"PLP2"	112.095594481081
"DDIT3"	111.835091232531
"CHRM3"	111.181185565661
"SLC25A1"	111.153177856221
"MTFMT"	111.145716303559
"SH2B2"	110.918362598537
"MMP19"	110.692837788943
"GCLC"	110.583361644192
"CCR9"	110.269615737005
"C3"	109.742019495349
"KCNA3"	109.49009388326
"GUSB"	109.392210833066
"ZBTB32"	108.837649818949
"PARP9"	108.321098955393
"XAF1"	108.093273263846
"EPHA3"	107.991341884541
"TLR2"	107.981826058615
"SAT1"	107.555979220491
"CXCR2"	107.30079074689
"CD6"	107.133578982757
"TFPI"	106.291067832132
"IKZF2"	105.334646696688
"MPV17"	105.050471551061
"MAPKAPK2"	104.145622190082
"AKR1A1"	103.957772458174
"DCC"	103.881281633639
"MOK"	103.69963204475
"CISH"	103.528462943316
"ANXA2"	103.394150742607
"GALT"	103.255188992024
"EIF4E2"	102.883085714216
"SLC11A1"	102.745167193664
"SGTA"	102.184093411841
"F3"	102.084219659049
"BCAR3"	102.060073762653
"HSPA14"	101.993689141059
"TCN1"	101.863339857431
"MAOA"	100.97138981562
"ANPEP"	100.921107856834
"AANAT"	100.671160792781
"GPR84"	99.6470699331697
"VDR"	99.5144279334903
"PSMB5"	99.2836519754164
"CCS"	99.1218885759239
"DECR1"	99.0253915278018
"EPO"	98.7440717025189
"HIF1A"	98.0869063828783
"ZMYM2"	97.8408848141751
"NR3C1"	97.7579520195322
"PAFAH1B1"	97.653717747128
"GSR"	97.200739741003
"AMH"	97.0674036790273
"SREBF2"	96.7845874411153
"RAF1"	95.9498915418171
"TRPV4"	95.7160980985949
"ANKHD1"	95.7074499499286
"USP9X"	95.2036122601791
"BMPR2"	95.0267782379734
"YWHAE"	94.6863297349494
"IL18R1"	94.6431711578494
"SRF"	94.5406431811888
"XPO1"	94.1871030057852
"LGR4"	93.9528317508604
"MAP2K1"	93.3730042835942
"TCN2"	93.0921290166994
"SIT1"	92.8553985544274
"RARA"	92.445440419253
"ATF2"	91.84296363203
"NRM"	91.7099327888124
"SF3B1"	91.4383607476033
"XPNPEP1"	90.6797379654757
"GFAP"	89.8689048574731
"FCGR3B"	89.4889369896942
"EMP1"	89.3670236211421
"STUB1"	89.3351080036959
"ERAP2"	87.9950547606009
"NPM1"	87.0142802971913
"RPS20"	86.2612117795021
"FYCO1"	85.9201841695143
"SIRT3"	85.478807873706
"GJA1"	85.4265385191994
"SERPINF2"	85.2359134836053
"CD177"	85.2344257430235
"PLEK"	85.0011445794653
"ARSB"	83.9030027503413
"GPNMB"	83.8901503494304
"NXF1"	83.3936205558034
"CPB2"	82.9223148766594
"EIF2AK3"	82.7471173977854
"GCGR"	82.6334755708512
"EZR"	82.4726996012314
"HGS"	82.4391180273655
"SIRT6"	82.3683039276915
"CDC42"	81.6983351022831
"COL4A5"	81.207991012444
"XBP1"	80.9578695212311
"TFRC"	80.9265197145452
"ADRA1A"	80.4602071474577
"FLVCR1"	80.1687939280743
"BRD2"	80.135278721862
"PTGS1"	78.9985777870774
"SOD2"	78.9414422355293
"HAVCR2"	78.9161089555931
"NECTIN1"	78.7273243475225
"KCNJ2"	78.5592139864315
"HLA-DPB1"	78.0233205756335
"SFTPD"	77.8147754212372
"GATM"	77.3101543661808
"TNFRSF13B"	76.8796037786494
"TNFRSF17"	76.7326666165906
"TLE4"	76.6751077283108
"ARHGEF15"	76.3934220900271
"CSF1"	76.0143113053632
"CPM"	75.8313843392045
"LDLR"	75.8111685265044
"CDH1"	75.5796205375202
"NT5C2"	74.7498661906699
"SLA"	74.6235442053734
"IL7"	73.6948772851962
"IGF1"	72.5095061567799
"AVPI1"	72.2318372010275
"PSMD8"	72.1362984974379
"MGAM"	71.9427504547253
"CYP2B6"	71.7556581490297
"CDH5"	71.5751853850539
"GSK3B"	71.4389555614597
"MGMT"	71.0272421939669
"DCPS"	70.8919576522896
"MFGE8"	70.5444337535778
"RIPK1"	70.5224105386707
"MYLIP"	70.4000342239593
"ADAM10"	70.3009273227225
"RPS2"	70.096663271943
"DBH"	69.7398773508397
"UGCG"	69.3346297152908
"RIT1"	69.1592621375914
"HLA-DRB1"	68.9733132732906
"TLE1"	68.6749576949286
"CD82"	68.6113051243565
"MBD2"	68.2745902329895
"CXCL11"	67.6947414427066
"CYP4F3"	67.2929071117636
"TYMS"	67.1230025524945
"TMEM97"	66.9931200880844
"TBCA"	66.6669719729724
"ITGA2B"	66.6265299738287
"CD19"	66.4820156674081
"GET4"	66.3032197756129
"PLAU"	65.8845330846443
"ATP12A"	65.7177461465172
"OSBP2"	65.5555072638724
"TEK"	64.9648451173724
"BCL2L1"	63.7555801149779
"GLS2"	63.4703805183066
"IMPA1"	63.367920078233
"DNASE1"	63.1629116340023
"SERPINC1"	63.1545489878517
"P2RX7"	63.027188081459
"ACR"	62.5555126042635
"PSMB7"	62.5547499869156
"GDF10"	62.21467869638
"PLA2G15"	61.7346181296885
"TOR1A"	61.5252651413383
"COX8A"	61.4032591793391
"CYBB"	61.1259994300065
"CCL3"	61.1131614116353
"HLA-DOA"	61.0640782364563
"MARK3"	61.0363510466372
"LCT"	60.5079326189432
"CSF2"	60.372130936872
"RNASE2"	60.278979375427
"FXN"	60.0185123811714
"IL1RN"	59.9935589313425
"CA1"	59.9319083914353
"HLA-A"	59.4542130040185
"SLC29A1"	59.3295669368475
"HRG"	59.265724767105
"ECD"	59.1854178126725
"MCF2L"	58.9906090499659
"INSIG1"	58.7898577366374
"CMIP"	58.6887623599268
"HAT1"	58.0858825200014
"JTB"	57.5238529515083
"TGFB1"	57.5175708528023
"PROS1"	57.2431179682664
"CDCA7L"	56.9410275184336
"APEX2"	56.6291498917298
"AOX1"	56.4953755995469
"ZNF687"	56.1553875918421
"LXN"	56.0495949380633
"HLA-B"	56.0432575190684
"KITLG"	55.9503536425828
"GCNT2"	55.929872207879
"PIR"	55.3822495294312
"KDR"	54.9935753297893
"RUNX2"	54.9851917599154
"DLD"	54.8295617629947
"GALNS"	53.6677651055319
"ADM"	53.0527460819887
"AKT1S1"	52.6767335663942
"ARHGAP9"	52.451276694959
"RIPK3"	52.3689766350508
"SPP1"	52.3397579494727
"DBP"	52.280754842056
"ADCY2"	52.2796819592147
"CYP2C8"	52.1814642451138
"QKI"	52.1113514962135
"PSMG1"	51.1886471892174
"F11"	51.09443887508
"ME1"	50.7195777787279
"F2RL3"	50.4130515994737
"IL5RA"	50.3329600024346
"ERN1"	50.0415032341028
"PDE5A"	50.0315257338019
"ACSS2"	49.307813130126
"CD200"	49.2717808421416
"SH2B1"	48.9312667581934
"LTF"	48.7563706382051
"SIRT5"	48.497831810316
"BPI"	48.4733488838341
"HLA-C"	48.421585221975
"PSEN1"	48.2932501138797
"DSG3"	48.2726784155358
"ADAMTS2"	47.8929929845925
"ENAH"	47.6434353022839
"MAOB"	47.5409025884663
"WLS"	47.3039613274724
"HLA-DPA1"	47.2692912308805
"CDKN3"	47.1183427470539
"S100A4"	46.9609318254796
"SLC28A3"	46.3072162442312
"STOML2"	46.1605274649917
"PFKFB3"	46.1278962417266
"OPRM1"	45.7660370725325
"LYVE1"	45.7384292227269
"NDUFAF3"	45.5962639476842
"P4HB"	45.5677715063548
"HSPB3"	45.4938222107767
"RAB18"	45.4551437123224
"CFD"	45.334282861591
"MAS1"	44.9076918984103
"PITRM1"	44.8958461749516
"C3orf18"	44.8172717924424
"NPAT"	44.643673193513
"TF"	44.5465045454162
"DIO3"	44.1658896757508
"EVA1C"	44.1245612663963
"ATP6V0C"	44.0457461145632
"AKR1C4"	44.0137890835181
"NBN"	43.8868858684902
"MAT2A"	43.8641973307981
"DMTN"	43.7240636769365
"COTL1"	43.631197904032
"CD4"	42.9539252728466
"PC"	42.9400668741359
"AKR1C1"	42.8861383656657
"KLRC1"	42.6901522535006
"YWHAQ"	42.4259962017134
"ANGPT1"	42.2662763068141
"MAP1A"	41.9347181100504
"PANX1"	41.8723252805868
