Gene 1	Gene 2	Weight	Network group	Network
IL6	IL6R	0.031877197	Pathway	Wu-Stein-2010
STAT1	IL6R	0.01090563	Pathway	Wu-Stein-2010
STAT1	IL6	0.010095957	Pathway	Wu-Stein-2010
IL6ST	IL6R	0.017225262	Pathway	Wu-Stein-2010
IL6ST	IL6	0.015946398	Pathway	Wu-Stein-2010
IL6ST	STAT1	0.0054554828	Pathway	Wu-Stein-2010
OSM	IL6ST	0.06494757	Pathway	Wu-Stein-2010
IFNGR1	STAT1	0.0085157845	Pathway	Wu-Stein-2010
SHH	BOC	0.37021017	Pathway	Wu-Stein-2010
SHH	CDON	0.22957008	Pathway	Wu-Stein-2010
EZR	SLC9A3R1	0.043929406	Pathway	Wu-Stein-2010
STAT2	STAT1	0.011104005	Pathway	Wu-Stein-2010
STAT2	IL6ST	0.017538592	Pathway	Wu-Stein-2010
LIF	IL6ST	0.065953724	Pathway	Wu-Stein-2010
KIT	STAT1	0.0066190814	Pathway	Wu-Stein-2010
IL6	IL6R	1	Physical Interactions	IREF-uniprotpp
SCHIP1	NF2	1	Physical Interactions	IREF-uniprotpp
IHH	BOC	0.5	Physical Interactions	IREF-uniprotpp
DHH	BOC	0.5	Physical Interactions	IREF-uniprotpp
CDON	IHH	0.5	Physical Interactions	IREF-uniprotpp
CDON	DHH	0.5	Physical Interactions	IREF-uniprotpp
IL6	IL6R	0.51018554	Physical Interactions	IREF-innatedb
IL6ST	IL6R	0.38696525	Physical Interactions	IREF-innatedb
SLC9A3R1	NF2	0.52182525	Physical Interactions	IREF-innatedb
CRP	IL6	0.20661019	Physical Interactions	IREF-innatedb
IL6	IL6R	0.6339746	Physical Interactions	IREF-bind-translation
IL6ST	IL6R	0.27678296	Physical Interactions	IREF-bind-translation
IL6ST	IL6	0.27678296	Physical Interactions	IREF-bind-translation
HGS	NF2	0.3192135	Physical Interactions	IREF-bind-translation
PLAUR	STAT1	0.2255908	Physical Interactions	IREF-bind-translation
SLC9A3R1	NF2	0.08601525	Physical Interactions	IREF-bind-translation
TARBP2	NF2	0.18992706	Physical Interactions	IREF-bind-translation
EZR	NF2	0.14913416	Physical Interactions	IREF-bind-translation
STAT2	STAT1	0.17469896	Physical Interactions	IREF-bind-translation
RALGDS	NF2	0.19871199	Physical Interactions	IREF-bind-translation
LIF	IL6ST	0.544053	Physical Interactions	IREF-bind-translation
KIT	STAT1	0.112728335	Physical Interactions	IREF-bind-translation
IL6	IL6R	0.70966643	Physical Interactions	IREF-dip
IL6ST	IL6	0.19094884	Physical Interactions	IREF-dip
AMOT	NF2	0.91130626	Physical Interactions	IREF-dip
OSM	IL6	0.32773384	Physical Interactions	IREF-dip
OSM	IL6ST	0.21522383	Physical Interactions	IREF-dip
KDM3A	STAT1	0.45508987	Physical Interactions	IREF-dip
IFNGR1	STAT1	0.45508987	Physical Interactions	IREF-dip
IL6	IL6R	0.6125741	Physical Interactions	IREF-bind
IL6ST	IL6R	0.29119763	Physical Interactions	IREF-bind
IL6ST	IL6	0.29119763	Physical Interactions	IREF-bind
HGS	NF2	0.35271448	Physical Interactions	IREF-bind
PLAUR	STAT1	0.38869777	Physical Interactions	IREF-bind
SLC9A3R1	NF2	0.10311077	Physical Interactions	IREF-bind
TARBP2	NF2	0.21930529	Physical Interactions	IREF-bind
EZR	NF2	0.19629568	Physical Interactions	IREF-bind
LIF	IL6ST	0.55635375	Physical Interactions	IREF-bind
KIT	STAT1	0.14477919	Physical Interactions	IREF-bind
IL6	IL6R	0.34399015	Physical Interactions	IREF-quickgo
IL6ST	IL6R	0.12959585	Physical Interactions	IREF-quickgo
IL6ST	IL6	0.31140774	Physical Interactions	IREF-quickgo
OSM	IL6ST	0.24271137	Physical Interactions	IREF-quickgo
SLC9A3R1	NF2	0.08289613	Physical Interactions	IREF-quickgo
CDON	BOC	1	Physical Interactions	IREF-quickgo
EZR	SLC9A3R1	0.023811713	Physical Interactions	IREF-quickgo
STAT2	STAT1	0.12783214	Physical Interactions	IREF-quickgo
LIF	IL6ST	0.27272388	Physical Interactions	IREF-quickgo
IL6	IL6R	0.2654348	Physical Interactions	IREF-intact
IL6ST	STAT1	0.04132022	Physical Interactions	IREF-intact
SCHIP1	NF2	0.025514565	Physical Interactions	IREF-intact
IHH	BOC	0.30822966	Physical Interactions	IREF-intact
AMOT	NF2	0.050426915	Physical Interactions	IREF-intact
DHH	BOC	0.2776556	Physical Interactions	IREF-intact
HGS	NF2	0.00951506	Physical Interactions	IREF-intact
OSM	IL6ST	0.14958267	Physical Interactions	IREF-intact
KDM3A	STAT1	0.15257762	Physical Interactions	IREF-intact
SLC9A3R1	NF2	0.035711173	Physical Interactions	IREF-intact
IFNGR1	STAT1	0.043722466	Physical Interactions	IREF-intact
CDON	IHH	0.3899535	Physical Interactions	IREF-intact
CDON	DHH	0.35127303	Physical Interactions	IREF-intact
EZR	SLC9A3R1	0.017786294	Physical Interactions	IREF-intact
STAT2	STAT1	0.034104045	Physical Interactions	IREF-intact
LIF	IL6ST	0.15433362	Physical Interactions	IREF-intact
KIT	STAT1	0.013076084	Physical Interactions	IREF-intact
IL6	IL6R	0.09725083	Physical Interactions	Vastrik-Stein-2007
STAT1	IL6R	0.023823105	Physical Interactions	Vastrik-Stein-2007
STAT1	IL6	0.00914804	Physical Interactions	Vastrik-Stein-2007
IL6ST	IL6R	0.2532583	Physical Interactions	Vastrik-Stein-2007
IL6ST	IL6	0.09725083	Physical Interactions	Vastrik-Stein-2007
IL6ST	STAT1	0.023823105	Physical Interactions	Vastrik-Stein-2007
IFNGR1	STAT1	0.015845386	Physical Interactions	Vastrik-Stein-2007
CDON	BOC	0.04638588	Physical Interactions	Vastrik-Stein-2007
STAT2	STAT1	0.003662298	Physical Interactions	Vastrik-Stein-2007
KIT	STAT1	0.0066633862	Physical Interactions	Vastrik-Stein-2007
IL6	IL6R	0.09725083	Physical Interactions	IREF-reactome
STAT1	IL6R	0.023823105	Physical Interactions	IREF-reactome
STAT1	IL6	0.00914804	Physical Interactions	IREF-reactome
IL6ST	IL6R	0.2532583	Physical Interactions	IREF-reactome
IL6ST	IL6	0.09725083	Physical Interactions	IREF-reactome
IL6ST	STAT1	0.023823105	Physical Interactions	IREF-reactome
IFNGR1	STAT1	0.015845386	Physical Interactions	IREF-reactome
CDON	BOC	0.04638588	Physical Interactions	IREF-reactome
STAT2	STAT1	0.003662298	Physical Interactions	IREF-reactome
KIT	STAT1	0.0066633862	Physical Interactions	IREF-reactome
IL6R	BOC	0.013300277	Shared protein domains	INTERPRO
IL6ST	IL6R	0.022348696	Shared protein domains	INTERPRO
DHH	IHH	0.4863845	Shared protein domains	INTERPRO
OSM	IL6	0.018031834	Shared protein domains	INTERPRO
CDON	BOC	0.0124055715	Shared protein domains	INTERPRO
CDON	IL6R	0.010873938	Shared protein domains	INTERPRO
CDON	IL6ST	0.0087450575	Shared protein domains	INTERPRO
SHH	IHH	0.5268602	Shared protein domains	INTERPRO
SHH	DHH	0.4863845	Shared protein domains	INTERPRO
EZR	NF2	0.04196683	Shared protein domains	INTERPRO
STAT2	STAT1	0.061960213	Shared protein domains	INTERPRO
LIF	IL6	0.018031767	Shared protein domains	INTERPRO
LIF	OSM	0.10527683	Shared protein domains	INTERPRO
