Gene 1	Gene 2	Weight	Network group	Network
PPBP	TAL1	0.024140943	Co-expression	Burington-Shaughnessy-2008
PPBP	ABLIM3	0.021459969	Co-expression	Burington-Shaughnessy-2008
PPBP	PF4V1	0.026098553	Co-expression	Burington-Shaughnessy-2008
PPBP	MMP8	0.014453472	Co-expression	Burington-Shaughnessy-2008
PPBP	MAOB	0.014806281	Co-expression	Burington-Shaughnessy-2008
CLU	ITGA2B	0.018249964	Co-expression	Burington-Shaughnessy-2008
CLU	GAS2L1	0.017864216	Co-expression	Burington-Shaughnessy-2008
CLU	ITGB3	0.019984655	Co-expression	Burington-Shaughnessy-2008
CLU	TAL1	0.018717324	Co-expression	Burington-Shaughnessy-2008
CLU	ABLIM3	0.018115846	Co-expression	Burington-Shaughnessy-2008
CLU	PF4V1	0.018462578	Co-expression	Burington-Shaughnessy-2008
CLU	MAOB	0.015353533	Co-expression	Burington-Shaughnessy-2008
CLU	PPBP	0.018594231	Co-expression	Burington-Shaughnessy-2008
CCL8	PTAFR	0.014772674	Co-expression	Burington-Shaughnessy-2008
MMRN1	ITGA2B	0.011543079	Co-expression	Burington-Shaughnessy-2008
CALD1	ITGA2B	0.02363221	Co-expression	Burington-Shaughnessy-2008
CALD1	GAS2L1	0.021679088	Co-expression	Burington-Shaughnessy-2008
CALD1	CLDN5	0.02018967	Co-expression	Burington-Shaughnessy-2008
CALD1	TAL1	0.025155162	Co-expression	Burington-Shaughnessy-2008
CALD1	ABLIM3	0.024038283	Co-expression	Burington-Shaughnessy-2008
CALD1	PF4V1	0.022056047	Co-expression	Burington-Shaughnessy-2008
CALD1	MAOB	0.021920571	Co-expression	Burington-Shaughnessy-2008
CALD1	PPBP	0.02241025	Co-expression	Burington-Shaughnessy-2008
CALD1	CLU	0.021893317	Co-expression	Burington-Shaughnessy-2008
PF4	ITGA2B	0.024432786	Co-expression	Burington-Shaughnessy-2008
PF4	GAS2L1	0.018005598	Co-expression	Burington-Shaughnessy-2008
PF4	TAL1	0.025624001	Co-expression	Burington-Shaughnessy-2008
PF4	ABLIM3	0.02225792	Co-expression	Burington-Shaughnessy-2008
PF4	PF4V1	0.024542186	Co-expression	Burington-Shaughnessy-2008
PF4	MMP8	0.013958009	Co-expression	Burington-Shaughnessy-2008
PF4	PPBP	0.028855436	Co-expression	Burington-Shaughnessy-2008
PF4	CLU	0.019608874	Co-expression	Burington-Shaughnessy-2008
PF4	MMRN1	0.013274389	Co-expression	Burington-Shaughnessy-2008
PF4	CALD1	0.024603926	Co-expression	Burington-Shaughnessy-2008
TNNC2	SAMD14	0.0071991514	Co-expression	Burington-Shaughnessy-2008
THBS1	ITGA2B	0.026227027	Co-expression	Burington-Shaughnessy-2008
HLX	VNN1	0.013464369	Co-expression	Burington-Shaughnessy-2008
GP1BA	ITGA2B	0.023567423	Co-expression	Burington-Shaughnessy-2008
GP1BA	GAS2L1	0.018012203	Co-expression	Burington-Shaughnessy-2008
GP1BA	ITGB3	0.022254685	Co-expression	Burington-Shaughnessy-2008
GP1BA	TAL1	0.025321245	Co-expression	Burington-Shaughnessy-2008
GP1BA	ABLIM3	0.0223683	Co-expression	Burington-Shaughnessy-2008
GP1BA	PF4V1	0.02304844	Co-expression	Burington-Shaughnessy-2008
GP1BA	MMP8	0.013782159	Co-expression	Burington-Shaughnessy-2008
GP1BA	MAOB	0.020743279	Co-expression	Burington-Shaughnessy-2008
GP1BA	PPBP	0.025441123	Co-expression	Burington-Shaughnessy-2008
GP1BA	CLU	0.019280965	Co-expression	Burington-Shaughnessy-2008
GP1BA	CALD1	0.026403824	Co-expression	Burington-Shaughnessy-2008
GP1BA	PF4	0.028415866	Co-expression	Burington-Shaughnessy-2008
NRGN	ITGA2B	0.023503417	Co-expression	Burington-Shaughnessy-2008
NRGN	GAS2L1	0.020001225	Co-expression	Burington-Shaughnessy-2008
NRGN	ITGB3	0.02049434	Co-expression	Burington-Shaughnessy-2008
NRGN	TAL1	0.025824603	Co-expression	Burington-Shaughnessy-2008
NRGN	ABLIM3	0.024564438	Co-expression	Burington-Shaughnessy-2008
NRGN	PF4V1	0.028986067	Co-expression	Burington-Shaughnessy-2008
NRGN	MMP8	0.012363777	Co-expression	Burington-Shaughnessy-2008
NRGN	MAOB	0.01688267	Co-expression	Burington-Shaughnessy-2008
NRGN	PPBP	0.028684909	Co-expression	Burington-Shaughnessy-2008
NRGN	CLU	0.020083139	Co-expression	Burington-Shaughnessy-2008
NRGN	CALD1	0.025420496	Co-expression	Burington-Shaughnessy-2008
NRGN	PF4	0.029336844	Co-expression	Burington-Shaughnessy-2008
NRGN	GP1BA	0.027349012	Co-expression	Burington-Shaughnessy-2008
ADAM9	VNN1	0.011563272	Co-expression	Burington-Shaughnessy-2008
ADAM9	GRB10	0.011647805	Co-expression	Burington-Shaughnessy-2008
PROS1	ITGA2B	0.012222814	Co-expression	Burington-Shaughnessy-2008
PROS1	GAS2L1	0.013107507	Co-expression	Burington-Shaughnessy-2008
PROS1	TAL1	0.011822797	Co-expression	Burington-Shaughnessy-2008
PROS1	TPP1	0.0139541	Co-expression	Burington-Shaughnessy-2008
PROS1	ABLIM3	0.013056446	Co-expression	Burington-Shaughnessy-2008
PROS1	PF4V1	0.01666403	Co-expression	Burington-Shaughnessy-2008
PROS1	PPBP	0.014559665	Co-expression	Burington-Shaughnessy-2008
PROS1	CLU	0.012215277	Co-expression	Burington-Shaughnessy-2008
PROS1	PF4	0.0136152655	Co-expression	Burington-Shaughnessy-2008
PROS1	GP1BA	0.013588489	Co-expression	Burington-Shaughnessy-2008
PROS1	NRGN	0.01754412	Co-expression	Burington-Shaughnessy-2008
MYL9	PF4V1	0.013754733	Co-expression	Burington-Shaughnessy-2008
MYL9	PPBP	0.0152715305	Co-expression	Burington-Shaughnessy-2008
MYL9	PF4	0.015778238	Co-expression	Burington-Shaughnessy-2008
VSIG4	PTAFR	0.01076898	Co-expression	Burington-Shaughnessy-2008
VSIG4	ABLIM3	0.009161728	Co-expression	Burington-Shaughnessy-2008
VSIG4	CCL8	0.012452794	Co-expression	Burington-Shaughnessy-2008
CETP	SIRPA	0.00985951	Co-expression	Burington-Shaughnessy-2008
CETP	CCL8	0.007538426	Co-expression	Burington-Shaughnessy-2008
CETP	STAB1	0.0074840784	Co-expression	Burington-Shaughnessy-2008
CETP	TNNC2	0.008664323	Co-expression	Burington-Shaughnessy-2008
CETP	VSIG4	0.0067143817	Co-expression	Burington-Shaughnessy-2008
LAG3	ZNF185	0.021146782	Co-expression	Burington-Shaughnessy-2008
LAG3	BST2	0.013756725	Co-expression	Burington-Shaughnessy-2008
LTBP1	CTTN	0.020065593	Co-expression	Burington-Shaughnessy-2008
FOLR2	PTAFR	0.010543208	Co-expression	Burington-Shaughnessy-2008
FOLR2	ABLIM3	0.008197882	Co-expression	Burington-Shaughnessy-2008
FOLR2	CCL8	0.011321774	Co-expression	Burington-Shaughnessy-2008
FOLR2	VSIG4	0.009309822	Co-expression	Burington-Shaughnessy-2008
FOLR2	CETP	0.0074773845	Co-expression	Burington-Shaughnessy-2008
MYLK	PPBP	0.011956842	Co-expression	Burington-Shaughnessy-2008
MYLK	CLU	0.014034339	Co-expression	Burington-Shaughnessy-2008
MYLK	PF4	0.015357109	Co-expression	Burington-Shaughnessy-2008
LAMP3	BST2	0.017797684	Co-expression	Burington-Shaughnessy-2008
LAMP3	LAG3	0.00915284	Co-expression	Burington-Shaughnessy-2008
S100A9	MMP8	0.024018249	Co-expression	Burington-Shaughnessy-2008
AQP9	MMP8	0.017714927	Co-expression	Burington-Shaughnessy-2008
AQP9	S100A9	0.025613457	Co-expression	Burington-Shaughnessy-2008
PTPRF	DLC1	0.024548287	Co-expression	Burington-Shaughnessy-2008
PTPRF	PF4	0.015122671	Co-expression	Burington-Shaughnessy-2008
PTPRF	MYL9	0.027810961	Co-expression	Burington-Shaughnessy-2008
PTPRF	MYLK	0.036219984	Co-expression	Burington-Shaughnessy-2008
S100A8	ITGA2B	0.010692535	Co-expression	Burington-Shaughnessy-2008
S100A8	MMP8	0.028241938	Co-expression	Burington-Shaughnessy-2008
S100A8	PPBP	0.011647752	Co-expression	Burington-Shaughnessy-2008
S100A8	PF4	0.012179552	Co-expression	Burington-Shaughnessy-2008
S100A8	S100A9	0.03340354	Co-expression	Burington-Shaughnessy-2008
S100A8	AQP9	0.02254002	Co-expression	Burington-Shaughnessy-2008
IL15	LAG3	0.0133534735	Co-expression	Burington-Shaughnessy-2008
ITGB5	SMOX	0.016921816	Co-expression	Burington-Shaughnessy-2008
GJA4	CLDN5	0.007678678	Co-expression	Burington-Shaughnessy-2008
GJA4	GRB10	0.00510667	Co-expression	Burington-Shaughnessy-2008
GJA4	PTGS1	0.0064674825	Co-expression	Burington-Shaughnessy-2008
PTX3	MMP8	0.015666248	Co-expression	Burington-Shaughnessy-2008
PTX3	S100A9	0.013027715	Co-expression	Burington-Shaughnessy-2008
PTX3	S100A8	0.012603206	Co-expression	Burington-Shaughnessy-2008
PTX3	GJA4	0.0063967356	Co-expression	Burington-Shaughnessy-2008
ASGR2	CRLF1	0.026187016	Co-expression	Burington-Shaughnessy-2008
LGALS9	LAMP3	0.011216667	Co-expression	Burington-Shaughnessy-2008
TGFB1I1	SAMD14	0.010475246	Co-expression	Burington-Shaughnessy-2008
TGFB1I1	CETP	0.013000409	Co-expression	Burington-Shaughnessy-2008
F13A1	ITGA2B	0.023191562	Co-expression	Burington-Shaughnessy-2008
F13A1	GAS2L1	0.019699527	Co-expression	Burington-Shaughnessy-2008
F13A1	ITGB3	0.020974211	Co-expression	Burington-Shaughnessy-2008
F13A1	TAL1	0.025130708	Co-expression	Burington-Shaughnessy-2008
F13A1	ABLIM3	0.023252293	Co-expression	Burington-Shaughnessy-2008
F13A1	PF4V1	0.026963567	Co-expression	Burington-Shaughnessy-2008
F13A1	MMP8	0.012954293	Co-expression	Burington-Shaughnessy-2008
F13A1	MAOB	0.017429598	Co-expression	Burington-Shaughnessy-2008
F13A1	PPBP	0.027262185	Co-expression	Burington-Shaughnessy-2008
F13A1	CLU	0.019287124	Co-expression	Burington-Shaughnessy-2008
F13A1	CALD1	0.024558267	Co-expression	Burington-Shaughnessy-2008
F13A1	PF4	0.028330114	Co-expression	Burington-Shaughnessy-2008
F13A1	GP1BA	0.02704601	Co-expression	Burington-Shaughnessy-2008
F13A1	NRGN	0.030088738	Co-expression	Burington-Shaughnessy-2008
F13A1	PROS1	0.01720371	Co-expression	Burington-Shaughnessy-2008
GAS6	SMOX	0.018319644	Co-expression	Burington-Shaughnessy-2008
GAS6	ITGB5	0.016333662	Co-expression	Burington-Shaughnessy-2008
VWF	MAP1A	0.030079804	Co-expression	Burington-Shaughnessy-2008
VWF	CLU	0.018717146	Co-expression	Burington-Shaughnessy-2008
F2RL3	GAS2L1	0.0051175337	Co-expression	Burington-Shaughnessy-2008
F2RL3	SLC18A2	0.004182461	Co-expression	Burington-Shaughnessy-2008
F2RL3	MAOB	0.0056859045	Co-expression	Burington-Shaughnessy-2008
F2RL3	CLU	0.003689742	Co-expression	Burington-Shaughnessy-2008
F2RL3	HTRA1	0.0081818	Co-expression	Burington-Shaughnessy-2008
SELP	ITGA2B	0.018512538	Co-expression	Burington-Shaughnessy-2008
SELP	GAS2L1	0.014309491	Co-expression	Burington-Shaughnessy-2008
SELP	ITGB3	0.020587713	Co-expression	Burington-Shaughnessy-2008
SELP	CLDN5	0.014061034	Co-expression	Burington-Shaughnessy-2008
SELP	TAL1	0.018937586	Co-expression	Burington-Shaughnessy-2008
SELP	ABLIM3	0.016828876	Co-expression	Burington-Shaughnessy-2008
SELP	PF4V1	0.019699534	Co-expression	Burington-Shaughnessy-2008
SELP	MMP8	0.011361517	Co-expression	Burington-Shaughnessy-2008
SELP	MAOB	0.014172206	Co-expression	Burington-Shaughnessy-2008
SELP	PPBP	0.019208508	Co-expression	Burington-Shaughnessy-2008
SELP	CLU	0.015832333	Co-expression	Burington-Shaughnessy-2008
SELP	CALD1	0.019972052	Co-expression	Burington-Shaughnessy-2008
SELP	PF4	0.019801369	Co-expression	Burington-Shaughnessy-2008
SELP	THBS1	0.023688579	Co-expression	Burington-Shaughnessy-2008
SELP	GP1BA	0.020020695	Co-expression	Burington-Shaughnessy-2008
SELP	NRGN	0.020813767	Co-expression	Burington-Shaughnessy-2008
SELP	PROS1	0.012941585	Co-expression	Burington-Shaughnessy-2008
SELP	F13A1	0.020343097	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	ITGA2B	0.022109272	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	GAS2L1	0.024159884	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	TAL1	0.025019445	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	ABLIM3	0.021126244	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	PF4V1	0.02454773	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	PPBP	0.024731033	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	CLU	0.020236667	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	MMRN1	0.015836548	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	CALD1	0.023020916	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	PF4	0.025870204	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	GP1BA	0.025065333	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	NRGN	0.026813285	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	PROS1	0.015009613	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	F13A1	0.025755353	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	F2RL3	0.004058622	Co-expression	Burington-Shaughnessy-2008
GUCY1B1	SELP	0.019890334	Co-expression	Burington-Shaughnessy-2008
TCN2	VNN1	0.011448722	Co-expression	Burington-Shaughnessy-2008
TCN2	IL15	0.011576009	Co-expression	Burington-Shaughnessy-2008
S100A12	ITGA2B	0.011355246	Co-expression	Burington-Shaughnessy-2008
S100A12	MMP8	0.029558813	Co-expression	Burington-Shaughnessy-2008
S100A12	PPBP	0.01309668	Co-expression	Burington-Shaughnessy-2008
S100A12	PF4	0.013468594	Co-expression	Burington-Shaughnessy-2008
S100A12	GP1BA	0.012239125	Co-expression	Burington-Shaughnessy-2008
S100A12	NRGN	0.011388519	Co-expression	Burington-Shaughnessy-2008
S100A12	S100A9	0.03086358	Co-expression	Burington-Shaughnessy-2008
S100A12	AQP9	0.020433512	Co-expression	Burington-Shaughnessy-2008
S100A12	S100A8	0.034895767	Co-expression	Burington-Shaughnessy-2008
S100A12	PTX3	0.011351905	Co-expression	Burington-Shaughnessy-2008
S100A12	F13A1	0.011938251	Co-expression	Burington-Shaughnessy-2008
IL18R1	AQP9	0.016800838	Co-expression	Burington-Shaughnessy-2008
ACSL1	S100A9	0.02092259	Co-expression	Burington-Shaughnessy-2008
ACSL1	S100A8	0.019279951	Co-expression	Burington-Shaughnessy-2008
ACSL1	S100A12	0.017807756	Co-expression	Burington-Shaughnessy-2008
HMOX1	ABLIM3	0.011815522	Co-expression	Burington-Shaughnessy-2008
HMOX1	CCL8	0.0104635265	Co-expression	Burington-Shaughnessy-2008
HMOX1	PF4	0.00925897	Co-expression	Burington-Shaughnessy-2008
HMOX1	VSIG4	0.010771329	Co-expression	Burington-Shaughnessy-2008
HMOX1	FOLR2	0.010229873	Co-expression	Burington-Shaughnessy-2008
GP9	SIRPA	0.021233732	Co-expression	Burington-Shaughnessy-2008
GP9	SAMD14	0.00961343	Co-expression	Burington-Shaughnessy-2008
GP9	PF4V1	0.013632016	Co-expression	Burington-Shaughnessy-2008
GP9	CLU	0.011656204	Co-expression	Burington-Shaughnessy-2008
CYP1B1	ABLIM3	0.013621389	Co-expression	Burington-Shaughnessy-2008
CYP1B1	PF4V1	0.010204148	Co-expression	Burington-Shaughnessy-2008
CYP1B1	PPBP	0.010787243	Co-expression	Burington-Shaughnessy-2008
CYP1B1	PF4	0.012744165	Co-expression	Burington-Shaughnessy-2008
CYP1B1	GP1BA	0.010723655	Co-expression	Burington-Shaughnessy-2008
CYP1B1	NRGN	0.010015444	Co-expression	Burington-Shaughnessy-2008
CYP1B1	VSIG4	0.010084709	Co-expression	Burington-Shaughnessy-2008
CYP1B1	CETP	0.008325674	Co-expression	Burington-Shaughnessy-2008
CYP1B1	FOLR2	0.009934726	Co-expression	Burington-Shaughnessy-2008
CYP1B1	F13A1	0.009974455	Co-expression	Burington-Shaughnessy-2008
CYP1B1	HMOX1	0.017133623	Co-expression	Burington-Shaughnessy-2008
LGMN	CCL8	0.009051775	Co-expression	Burington-Shaughnessy-2008
LGMN	VSIG4	0.0073655876	Co-expression	Burington-Shaughnessy-2008
LGMN	FOLR2	0.0065908087	Co-expression	Burington-Shaughnessy-2008
LGMN	ITGB5	0.015576674	Co-expression	Burington-Shaughnessy-2008
LGMN	HMOX1	0.010142436	Co-expression	Burington-Shaughnessy-2008
LCN2	ITGA2B	0.014557863	Co-expression	Burington-Shaughnessy-2008
LCN2	TAL1	0.013254162	Co-expression	Burington-Shaughnessy-2008
LCN2	ABLIM3	0.014346206	Co-expression	Burington-Shaughnessy-2008
LCN2	PF4V1	0.013780175	Co-expression	Burington-Shaughnessy-2008
LCN2	MMP8	0.023687834	Co-expression	Burington-Shaughnessy-2008
LCN2	PPBP	0.016502542	Co-expression	Burington-Shaughnessy-2008
LCN2	CLU	0.010265429	Co-expression	Burington-Shaughnessy-2008
LCN2	PF4	0.016477792	Co-expression	Burington-Shaughnessy-2008
LCN2	GP1BA	0.015919084	Co-expression	Burington-Shaughnessy-2008
LCN2	NRGN	0.015554284	Co-expression	Burington-Shaughnessy-2008
LCN2	S100A9	0.019418268	Co-expression	Burington-Shaughnessy-2008
LCN2	AQP9	0.012397557	Co-expression	Burington-Shaughnessy-2008
LCN2	S100A8	0.023769096	Co-expression	Burington-Shaughnessy-2008
LCN2	F13A1	0.015651245	Co-expression	Burington-Shaughnessy-2008
LCN2	SELP	0.0123415105	Co-expression	Burington-Shaughnessy-2008
LCN2	GUCY1B1	0.014936122	Co-expression	Burington-Shaughnessy-2008
LCN2	S100A12	0.025308734	Co-expression	Burington-Shaughnessy-2008
MGLL	PROS1	0.010971724	Co-expression	Burington-Shaughnessy-2008
MGLL	TCN2	0.012509229	Co-expression	Burington-Shaughnessy-2008
MGLL	LGMN	0.01201309	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	ITGA2B	0.018118382	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	GAS2L1	0.019069342	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	TAL1	0.020266322	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	ABLIM3	0.017698145	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	PF4V1	0.02195456	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	PPBP	0.021014223	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	CLU	0.01514083	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	PF4	0.020597477	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	GP1BA	0.019841483	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	NRGN	0.023371402	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	PROS1	0.014201944	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	LTBP1	0.01997295	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	F13A1	0.022102088	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	SELP	0.018700257	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	GUCY1B1	0.019489681	Co-expression	Burington-Shaughnessy-2008
PRKAR2B	LCN2	0.010916622	Co-expression	Burington-Shaughnessy-2008
TNF	PTGER3	0.009694254	Co-expression	Burington-Shaughnessy-2008
TNF	SPTB	0.008380388	Co-expression	Burington-Shaughnessy-2008
TNF	VWF	0.0069402913	Co-expression	Burington-Shaughnessy-2008
TNF	GSTM5	0.0097627975	Co-expression	Burington-Shaughnessy-2008
GRN	TPP1	0.02369123	Co-expression	Burington-Shaughnessy-2008
ALOX12	KAZN	0.00972588	Co-expression	Burington-Shaughnessy-2008
ALOX12	ITGA2B	0.0056541194	Co-expression	Burington-Shaughnessy-2008
ALOX12	SIRPA	0.005665724	Co-expression	Burington-Shaughnessy-2008
ALOX12	GAS2L1	0.006184295	Co-expression	Burington-Shaughnessy-2008
ALOX12	CTDSPL	0.008740004	Co-expression	Burington-Shaughnessy-2008
ALOX12	ITGB3	0.008238675	Co-expression	Burington-Shaughnessy-2008
ALOX12	CLDN5	0.0060448553	Co-expression	Burington-Shaughnessy-2008
ALOX12	TAL1	0.0059962426	Co-expression	Burington-Shaughnessy-2008
ALOX12	PF4V1	0.0039002672	Co-expression	Burington-Shaughnessy-2008
ALOX12	MAOB	0.0067522074	Co-expression	Burington-Shaughnessy-2008
ALOX12	PPBP	0.0041105235	Co-expression	Burington-Shaughnessy-2008
ALOX12	CLU	0.0056841485	Co-expression	Burington-Shaughnessy-2008
ALOX12	CALD1	0.0070247026	Co-expression	Burington-Shaughnessy-2008
ALOX12	PF4	0.004656384	Co-expression	Burington-Shaughnessy-2008
ALOX12	THBS1	0.01114922	Co-expression	Burington-Shaughnessy-2008
ALOX12	GP1BA	0.0054709045	Co-expression	Burington-Shaughnessy-2008
ALOX12	NRGN	0.003960037	Co-expression	Burington-Shaughnessy-2008
ALOX12	HTRA1	0.008087639	Co-expression	Burington-Shaughnessy-2008
ALOX12	F13A1	0.00442571	Co-expression	Burington-Shaughnessy-2008
ALOX12	VWF	0.008295419	Co-expression	Burington-Shaughnessy-2008
ALOX12	SELP	0.0046233037	Co-expression	Burington-Shaughnessy-2008
ALOX12	GUCY1B1	0.0058970824	Co-expression	Burington-Shaughnessy-2008
ALOX12	TCN2	0.003830409	Co-expression	Burington-Shaughnessy-2008
ALOX12	GP9	0.0056676464	Co-expression	Burington-Shaughnessy-2008
ALOX12	PRKAR2B	0.004340824	Co-expression	Burington-Shaughnessy-2008
SCN1B	GAS2L1	0.0075175567	Co-expression	Burington-Shaughnessy-2008
SCN1B	PTAFR	0.0064995005	Co-expression	Burington-Shaughnessy-2008
SCN1B	F2RL3	0.0025223054	Co-expression	Burington-Shaughnessy-2008
WASF3	CLU	0.011750944	Co-expression	Burington-Shaughnessy-2008
WASF3	SELP	0.011358145	Co-expression	Burington-Shaughnessy-2008
PLPP3	CLDN5	0.016902976	Co-expression	Burington-Shaughnessy-2008
STAT1	LAMP3	0.01221536	Co-expression	Burington-Shaughnessy-2008
TNFSF10	BST2	0.015542504	Co-expression	Burington-Shaughnessy-2008
TNFSF10	LAMP3	0.011700448	Co-expression	Burington-Shaughnessy-2008
TNFSF10	LGALS9	0.011184861	Co-expression	Burington-Shaughnessy-2008
TNFSF10	STAT1	0.00954662	Co-expression	Burington-Shaughnessy-2008
IL6	PROS1	0.013865207	Co-expression	Burington-Shaughnessy-2008
CD14	PTAFR	0.010488512	Co-expression	Burington-Shaughnessy-2008
CD14	CCL8	0.013830965	Co-expression	Burington-Shaughnessy-2008
CD14	PROS1	0.008267088	Co-expression	Burington-Shaughnessy-2008
CD14	VSIG4	0.009674294	Co-expression	Burington-Shaughnessy-2008
CD14	FOLR2	0.008998321	Co-expression	Burington-Shaughnessy-2008
CD14	HMOX1	0.00952495	Co-expression	Burington-Shaughnessy-2008
CD14	CYP1B1	0.008269877	Co-expression	Burington-Shaughnessy-2008
CD14	LGMN	0.0072176903	Co-expression	Burington-Shaughnessy-2008
GNAZ	ITGA2B	0.016367516	Co-expression	Burington-Shaughnessy-2008
GNAZ	GAS2L1	0.020598406	Co-expression	Burington-Shaughnessy-2008
GNAZ	TAL1	0.019471494	Co-expression	Burington-Shaughnessy-2008
GNAZ	PF4V1	0.018580418	Co-expression	Burington-Shaughnessy-2008
GNAZ	PPBP	0.017476337	Co-expression	Burington-Shaughnessy-2008
GNAZ	CLU	0.01596322	Co-expression	Burington-Shaughnessy-2008
GNAZ	PF4	0.018121533	Co-expression	Burington-Shaughnessy-2008
GNAZ	GP1BA	0.017044539	Co-expression	Burington-Shaughnessy-2008
GNAZ	NRGN	0.019629974	Co-expression	Burington-Shaughnessy-2008
GNAZ	PROS1	0.011606432	Co-expression	Burington-Shaughnessy-2008
GNAZ	F13A1	0.017563893	Co-expression	Burington-Shaughnessy-2008
GNAZ	SELP	0.014563807	Co-expression	Burington-Shaughnessy-2008
GNAZ	GUCY1B1	0.01758593	Co-expression	Burington-Shaughnessy-2008
CD74	IL18R1	0.013301156	Co-expression	Burington-Shaughnessy-2008
FPR2	FST	0.008717246	Co-expression	Burington-Shaughnessy-2008
EGF	KAZN	0.0061614485	Co-expression	Burington-Shaughnessy-2008
EGF	PCYT1B	0.0052761016	Co-expression	Burington-Shaughnessy-2008
EGF	SEMA3F	0.005683622	Co-expression	Burington-Shaughnessy-2008
EGF	PTGER3	0.006000784	Co-expression	Burington-Shaughnessy-2008
EGF	MAP1A	0.0039360905	Co-expression	Burington-Shaughnessy-2008
EGF	CSF1	0.0032835118	Co-expression	Burington-Shaughnessy-2008
EGF	CDC42BPA	0.0030938652	Co-expression	Burington-Shaughnessy-2008
EGF	CTSO	0.0035923559	Co-expression	Burington-Shaughnessy-2008
EGF	THBS1	0.005820669	Co-expression	Burington-Shaughnessy-2008
EGF	ITGA1	0.0044310577	Co-expression	Burington-Shaughnessy-2008
EGF	VWF	0.004839836	Co-expression	Burington-Shaughnessy-2008
EGF	GSTM5	0.006278817	Co-expression	Burington-Shaughnessy-2008
EGF	TNF	0.0013758987	Co-expression	Burington-Shaughnessy-2008
